virus_unid	human_unid
P0C6L3	Q9HCE1
P29996	Q9H8X9
P29996	Q9UG22
P29996	Q16586
P29996	Q96DA6
P0C6L3	Q9NUN5
P0C6L3	P19338
P29996	Q7Z5P4
P29996	Q8WWG1
P29996	P56851
P29996	Q92685
P29996	Q11201
P29996	O43699
P29996	Q7KYR7
P29996	Q9UKY4
P29996	Q9UGN4
P29996	P02775
P29996	P43115
P29996	O75027
P29996	Q9UIJ5
P29996	Q9P003
P29996	P04156
P29996	P16885
P29996	Q8N682
P29996	P40198
P29996	P15514
P29996	Q5QGZ9
P29996	O75427
P29996	Q1W4C9
P0C6L3	P06748
P29996	Q8IVU1
P29996	P46108
P29996	Q15391
P29996	P25024
P29996	Q8N6Q1
P29996	O43493
P29996	Q9Y287
P29996	P04118
P29996	Q9Y257
P29996	Q9Y6H8
P29996	Q9H3K2
P29996	Q969E2
P29996	P13236
P29996	O75841
P29996	Q29983
P29996	Q9H0C2
P29996	Q8N0W7
P29996	P43121
P29996	Q9UKY0
P29996	Q96B96
P29996	Q5DX21
P29996	Q4U2R8
P29996	Q9UK00
P29996	Q5T4F4
P29996	Q6ICI0
P29996	A0AV02
P29996	Q13421
P29996	O60896
P29996	P58658
P29996	Q5JW98
P29996	Q8WY98
P29996	Q8TAF8
P29996	Q9Y3E5
P29996	O60779
P29996	Q9NUH8
P29996	Q96FX8
P29996	P11169
P29996	Q9Y5H7
P29996	Q3YBM2
P29996	Q8IYJ0
P29996	O43825
P29996	Q16853
P0C6L3	P52292
P29996	Q86T03
P29996	Q96J86
P29996	Q5W0Z9
P29996	Q92982
P29996	Q0VDE8
P29996	Q9NRB3
P29996	O60476
P29996	Q9UHP7
P29996	Q86UW2
P29996	Q9UHE5
P29996	Q6P9G4
P29996	Q2KHT4
P29996	O75829
P29996	Q969V5
P29996	P35414
P29996	Q8IX05
P29996	Q9BT56
P29996	Q9Y6X1
P29996	Q8NHU2
P29996	P29033
P29996	Q9NPF2
P29996	Q9NRZ7
P29996	P60602
P29996	Q9BTX3
P29996	Q68G75
P29996	Q4G0N4
P29996	Q9P0Z9
P29996	P98172
P29996	O14863
P29996	Q9UNA3
P21698	Q13888
P16494	Q96G25
Q808S4	O95551
Q808S4	Q9H2X6
P17881	O75925
P17881	O95551
Q808S4	Q96S59
P05133	Q9H2X6
Q808S4	O75928
P05133	O75928
P27313	Q9UER7
Q99152	Q9H2H8
Q99152	P27986
Q99152	Q92621
Q77HE9	Q9NWB7
Q99152	Q9NWB7
P69616	O43291
P69616	P02760
Q81870	P06241
Q81870	P62993
Q81870	P19174
Q81870	P08631
Q81870	Q16828
Q81870	P27986
Q81871	Q9H6X4
Q81870	P12931
Q81870	P00519
P0C799	P09429
P0DOF0	P52294
P03081	P30154
P03070	P28347
P03070	P35232
P03070	P35568
P03081	P67775
P03070	Q00403
P03070	Q00577
P03070	P52292
P03070	P20248
P03070	P06493
P03070	P07305
P03070	P16989
P03070	P24278
P03070	P50222
P03070	P53805
P03070	P61244
P03070	P62633
P03070	P68400
P03070	Q13433
P03070	Q13547
P03070	Q13895
P03070	Q6PEY2
P03070	Q86VM9
P03070	Q8N983
P03070	Q8NHQ9
P03070	Q8TBB1
P03070	Q8TD10
P03070	Q96LI6
P03070	Q99497
P03070	Q9HC62
P03070	Q9NTK5
P03070	Q9UHH9
P03070	Q9UM19
P03070	Q9Y297
P03081	P11387
O92837	P09874
O92837	P52292
O92837	Q14974
O92837	P08047
P03070	P27694
P03070	Q9NR12
P03070	Q15811
P03070	Q7Z7L1
P03081	P10619
Q9DH70	P27694
P03070	Q9NXH8
P03070	Q01813
P03081	Q9Y6E0
P03070	Q86TN4
P03081	O95819
P03081	Q9NRL3
P03070	Q6YHU6
P03070	Q8WVD3
P03081	Q9BQB6
P03070	Q12797
P03081	Q6NYC8
P03070	P12109
P03070	Q9Y6N5
P03070	Q8IXQ6
P03081	Q9P2B4
P03081	P49023
Q9DH70	Q7L1V2
P03081	P46734
P03081	Q9NZM1
P03081	Q13033
P03070	Q9BXX2
P03070	Q9H307
P03070	Q9UHD8
P03070	A6NMZ7
P03081	P09486
P03070	Q96PZ2
P03070	O95754
P03081	Q6P996
P03070	Q99933
P03070	Q8IY18
P03081	Q5VSL9
P03070	P29966
P03070	Q8N9I9
P03070	O43683
Q9DH70	P28347
P03070	Q9BSL1
P03081	P46060
P03070	Q9NXX6
P03070	Q8IYM9
Q910R7	P09874
P03070	O00635
P03070	Q8NCJ5
P03070	O43186
