Threshold	Specificity
0.99996	1.0
0.999924	1.0
0.99984	1.0
0.999827	1.0
0.999773	1.0
0.999769	1.0
0.999743	1.0
0.999692	1.0
0.999676	1.0
0.99962	1.0
0.999589	1.0
0.999561	1.0
0.999466	1.0
0.999339	1.0
0.999307	1.0
0.999297	1.0
0.999286	1.0
0.99926	1.0
0.999256	1.0
0.999239	1.0
0.999132	1.0
0.999114	1.0
0.999106	1.0
0.999102	1.0
0.999054	1.0
0.9989	1.0
0.998848	1.0
0.998806	1.0
0.998679	1.0
0.998667	1.0
0.99864	1.0
0.998465	1.0
0.998415	1.0
0.998388	1.0
0.998212	1.0
0.998058	1.0
0.997982	1.0
0.997959	1.0
0.997871	1.0
0.997854	1.0
0.997849	1.0
0.997463	1.0
0.997428	0.9980720871751886
0.997223	0.9961441743503772
0.997148	0.9942162615255657
0.997121	0.9922883487007544
0.996102	0.990360435875943
0.995943	0.9884325230511316
0.995917	0.9865046102263202
0.995548	0.9845766974015088
0.995007	0.9826487845766974
0.995005	0.980720871751886
0.994925	0.9787929589270746
0.994791	0.9768650461022632
0.994314	0.9749371332774518
0.994284	0.9730092204526404
0.993697	0.9691533948030177
0.993114	0.9652975691533948
0.992649	0.961441743503772
0.992561	0.9575859178541491
0.992531	0.9537300922045264
0.992526	0.9498742665549036
0.99239	0.9460184409052808
0.992243	0.942162615255658
0.992013	0.9383067896060352
0.991228	0.9344509639564124
0.99114	0.9305951383067896
0.990493	0.9267393126571668
0.990409	0.922883487007544
0.990278	0.9190276613579212
0.989976	0.9151718357082984
0.989534	0.9113160100586756
0.988856	0.9074601844090529
0.988763	0.90360435875943
0.988028	0.8997485331098072
0.987591	0.8958927074601845
0.987477	0.8920368818105616
0.981948	0.8881810561609388
0.980493	0.8843252305113161
0.977841	0.8804694048616932
0.977688	0.8766135792120704
0.977623	0.8727577535624476
0.977039	0.8689019279128248
0.975008	0.865046102263202
0.974288	0.8611902766135792
0.97221	0.8573344509639564
0.971627	0.8534786253143336
0.970507	0.8496227996647108
0.967146	0.845766974015088
0.966934	0.8419111483654652
0.966437	0.8380553227158424
0.963122	0.8341994970662197
0.96071	0.8303436714165968
0.960116	0.8245599329421626
0.959882	0.8187761944677284
0.958231	0.8111483654652137
0.958015	0.803520536462699
0.955863	0.7958927074601844
0.955118	0.7882648784576698
0.954402	0.7806370494551551
0.953082	0.7730092204526404
0.935033	0.7653813914501257
0.928309	0.757753562447611
0.925277	0.7501257334450964
0.92412	0.7424979044425817
0.92037	0.7348700754400671
0.917237	0.7272422464375524
0.915377	0.7196144174350377
0.910853	0.711986588432523
0.907845	0.7025146689019279
0.906404	0.6930427493713328
0.897697	0.6835708298407376
0.896725	0.672170997485331
0.895834	0.6607711651299245
0.893456	0.649371332774518
0.88884	0.6379715004191114
0.861374	0.6265716680637049
0.859631	0.6151718357082984
0.85157	0.6037720033528918
0.851069	0.5923721709974853
0.84393	0.5809723386420788
0.839164	0.5695725062866722
0.832184	0.5581726739312657
0.830048	0.5467728415758591
0.814076	0.5353730092204526
0.785191	0.5239731768650461
0.767221	0.5125733445096395
0.758408	0.49924559932942164
0.755612	0.4859178541492037
0.750546	0.47259010896898573
0.745882	0.45926236378876784
0.725364	0.4459346186085499
0.72379	0.4306789606035205
0.719069	0.4154233025984912
0.718847	0.4001676445934619
0.71446	0.3849119865884325
0.71297	0.3696563285834032
0.706851	0.3544006705783738
0.702479	0.3391450125733445
0.700453	0.3238893545683152
0.694685	0.3086336965632858
0.688059	0.2914501257334451
