human_ids,virus_ids,scores
P30101,B9UPF3,0.9604918360710144
P0CG48,P10211,0.9798768162727356
Q96DU3,D3JIT8,0.9597844481468201
P42224,Q76RC6,0.5224723219871521
Q16666,P10234,0.8076390027999878
O75190,Q805P6,0.9681410193443298
Q5T7W7,P06930,0.8776253461837769
P51610,P30020,0.9351872205734253
P14314,Q05320,0.9572985172271729
Q9UHV2,A0A0C7TUY8,0.9927767515182495
Q9Y3T6,P14357,0.8989441394805908
Q13651,P03180,0.9715790748596191
Q53GL7,A4D8X6,0.8971219658851624
P02786,R9UQM6,0.8606663942337036
Q9NSC5,Q3KSS3,0.9800806045532227
P01375,P0DSV7,0.9930732846260071
Q16666,P10185,0.8477833867073059
Q00403,P87662,0.9499034881591797
P04637,Q1NZ49,0.9954506754875183
Q12959,P30911,0.991705060005188
P02511,P17371,0.9808230996131897
P56962,P88990,0.9273918271064758
Q9BRH9,P03493,0.7538924217224121
P06241,Q9WNA9,0.5389522314071655
Q93009,P03211,0.9747627973556519
Q14103,P03454,0.9324469566345215
Q16666,G8HBD9,0.7750235199928284
P15529,P68323,0.959621250629425
P21333,Q9QAI4,0.8144689202308655
Q9UKT9,P10201,0.9104712605476379
Q9HD26,A4URT5,0.9700397849082947
Q99471,Q9DUN1,0.934853196144104
Q8WYJ6,P03496,0.9545938372612
Q86T75,P88992,0.8979759216308594
P56199,P04512,0.965612530708313
Q8N2S1,P03225,0.9791157245635986
Q9UQF2,P20505,0.9582988619804382
Q9UKJ1,A1Z0P7,0.9653893709182739
P12004,P36801,0.9818488359451294
P09651,P19893,0.5058872103691101
Q16666,F8RFA1,0.7102793455123901
P46109,Q99AU3,0.9779112935066223
Q92997,Q20MD4,0.9784436225891113
O15162,P10227,0.2472105622291565
P27348,P10230,0.9987223744392395
Q13616,Q6TVW2,0.3895837664604187
P63165,P06459,0.9997186064720154
P61769,P59596,0.845090389251709
O14641,P03495,0.9780716896057129
P27986,Q20MH3,0.46685606241226196
O00165,Q9QR69,0.4724346399307251
Q9H2H8,Q99152,0.9846068620681763
Q10589,A9QPL9,0.9707394242286682
Q9UI95,P24935,0.9704329967498779
P84022,P06428,0.8500915169715881
P40429,A4ZNQ3,0.9812465310096741
P27694,P88981,0.9786897301673889
Q13753,P11158,0.9084222316741943
P46934,Q77DJ6,0.9661332964897156
Q99750,Q3KSS4,0.9628884196281433
P61769,P59637,0.9014745354652405
P01903,P03437,0.982435941696167
P78556,O57300,0.9832166433334351
P0C0L5,P0DTC5,0.15720683336257935
Q99689,P03086,0.9154552221298218
P09661,Q194T2,0.9476614594459534
Q8N9W6,P10210,0.9515873789787292
Q8N3R9,P0DTC4,0.9397582411766052
Q13651,P0C6Z6,0.9715790748596191
