Method	Metric	Value
RandomForest	AUROC	0.87896843770837
RandomForest	AUPRC	0.6632514840461811
RandomForest	AUROC	0.911395651779836
RandomForest	AUPRC	0.5717470108286676
RandomForest	AUROC	0.9159046308832816
RandomForest	AUPRC	0.5916223377883449
RandomForest	AUROC	0.9195169994849812
RandomForest	AUPRC	0.6974913702980929
RandomForest	AUROC	0.9037039899553768
RandomForest	AUPRC	0.656709325852191
RandomForest	AUROC	0.9032400865906106
RandomForest	AUPRC	0.6853252495175988
RandomForest	AUROC	0.897171331228759
RandomForest	AUPRC	0.508035837968695
RandomForest	AUROC	0.9139195249741964
RandomForest	AUPRC	0.6249252135167359
RandomForest	AUROC	0.905226351818972
RandomForest	AUPRC	0.6834816854569137
RandomForest	AUROC	0.9083951578395628
RandomForest	AUPRC	0.6676100827821754
RandomForest	AUROC	0.903704025086264
RandomForest	AUPRC	0.6834302976920853
RandomForest	AUROC	0.9137649139398656
RandomForest	AUPRC	0.6184177851362098
RandomForest	AUROC	0.9134313110355252
RandomForest	AUPRC	0.7303025380115833
RandomForest	AUROC	0.9089473099928403
RandomForest	AUPRC	0.6539772066204501
RandomForest	AUROC	0.9023166360910848
RandomForest	AUPRC	0.6456497716297831
RandomForest	AUROC	0.8865021861951071
RandomForest	AUPRC	0.6518124147840852
RandomForest	AUROC	0.9046001437555904
RandomForest	AUPRC	0.5383801217429285
RandomForest	AUROC	0.90585765386099
RandomForest	AUPRC	0.5743470078775972
RandomForest	AUROC	0.9083712337054164
RandomForest	AUPRC	0.6866078667554034
RandomForest	AUROC	0.9155151698683788
RandomForest	AUPRC	0.693673398839843
RandomForest	AUROC	0.8956961150157141
RandomForest	AUPRC	0.6659913147629946
RandomForest	AUROC	0.9003511332170266
RandomForest	AUPRC	0.501464623755563
RandomForest	AUROC	0.9110392840606248
RandomForest	AUPRC	0.6845888742897077
RandomForest	AUROC	0.903256738631118
RandomForest	AUPRC	0.635725973289755
RandomForest	AUROC	0.9060285656269564
RandomForest	AUPRC	0.6691285445070347
RandomForest	AUROC	0.8906603833903977
RandomForest	AUPRC	0.529967379360754
RandomForest	AUROC	0.9049805058707224
RandomForest	AUPRC	0.5414448461065923
RandomForest	AUROC	0.8962388520912362
RandomForest	AUPRC	0.6783139307294991
RandomForest	AUROC	0.9154819360491384
RandomForest	AUPRC	0.6915139219859088
RandomForest	AUROC	0.9022075898173824
RandomForest	AUPRC	0.6110747402505325
AdaBoost	AUROC	0.917948510766563
AdaBoost	AUPRC	0.6666300692200673
AdaBoost	AUROC	0.8923929684826759
AdaBoost	AUPRC	0.6367972383120759
AdaBoost	AUROC	0.9093725693817456
AdaBoost	AUPRC	0.6590081942267784
AdaBoost	AUROC	0.916578476429634
AdaBoost	AUPRC	0.6962306757263349
AdaBoost	AUROC	0.9164843959138562
AdaBoost	AUPRC	0.6490258595913192
AdaBoost	AUROC	0.8997951869279375
AdaBoost	AUPRC	0.6053089288774921
AdaBoost	AUROC	0.9060771516438796
AdaBoost	AUPRC	0.6890308813582566
AdaBoost	AUROC	0.9091741501311434
AdaBoost	AUPRC	0.6619780761837724
AdaBoost	AUROC	0.9097029402444688
AdaBoost	AUPRC	0.6981735923639795
AdaBoost	AUROC	0.9145944947089372
AdaBoost	AUPRC	0.6022401464697407
AdaBoost	AUROC	0.9043899556577942
AdaBoost	AUPRC	0.6355124645797716
AdaBoost	AUROC	0.9159929148026804
AdaBoost	AUPRC	0.676873572955274
AdaBoost	AUROC	0.9023389442044224
AdaBoost	AUPRC	0.6727011186916729
AdaBoost	AUROC	0.9043388050861094
AdaBoost	AUPRC	0.6186961440979332
AdaBoost	AUROC	0.9169836760819786
AdaBoost	AUPRC	0.6643474362642483
AdaBoost	AUROC	0.9024683663926693
AdaBoost	AUPRC	0.6555706130573282
AdaBoost	AUROC	0.9032742689438038
AdaBoost	AUPRC	0.6621032218917887
AdaBoost	AUROC	0.8979125929475447
AdaBoost	AUPRC	0.6646409299906385
AdaBoost	AUROC	0.9000967504632009
AdaBoost	AUPRC	0.565623312752608
AdaBoost	AUROC	0.9009799409660572
AdaBoost	AUPRC	0.5563069983537597
AdaBoost	AUROC	0.902735712443852
AdaBoost	AUPRC	0.6333758407592247
AdaBoost	AUROC	0.9108397054907468
AdaBoost	AUPRC	0.6637641629086759
AdaBoost	AUROC	0.9025032162327182
AdaBoost	AUPRC	0.6354402361270007
AdaBoost	AUROC	0.9078638383023632
AdaBoost	AUPRC	0.6474782555855503
AdaBoost	AUROC	0.9116224919181396
AdaBoost	AUPRC	0.5794547140646571
AdaBoost	AUROC	0.9109409527075024
AdaBoost	AUPRC	0.6795529448554234
AdaBoost	AUROC	0.911733856830393
AdaBoost	AUPRC	0.6943230297943539
AdaBoost	AUROC	0.913062506982264
AdaBoost	AUPRC	0.6294529955921583
AdaBoost	AUROC	0.9175329123716228
AdaBoost	AUPRC	0.6884110636637433
AdaBoost	AUROC	0.904576289883218
AdaBoost	AUPRC	0.5994250484945144
