Threshold	Specificity
0.999988	1.0
0.999985	1.0
0.999982	1.0
0.999976	1.0
0.999967	1.0
0.999966	1.0
0.999965	1.0
0.999954	1.0
0.99995	1.0
0.999948	1.0
0.999947	1.0
0.999946	1.0
0.999939	1.0
0.999901	1.0
0.999874	1.0
0.999869	1.0
0.999866	1.0
0.999848	1.0
0.999846	1.0
0.999845	1.0
0.999826	1.0
0.999819	1.0
0.999809	1.0
0.999801	1.0
0.999768	1.0
0.99975	1.0
0.999746	1.0
0.999744	1.0
0.999732	1.0
0.999731	1.0
0.999718	1.0
0.999717	1.0
0.999716	1.0
0.999705	1.0
0.999701	1.0
0.999671	1.0
0.999653	1.0
0.999639	1.0
0.999629	1.0
0.999613	1.0
0.999582	1.0
0.99958	1.0
0.999575	1.0
0.999572	1.0
0.999564	1.0
0.999561	0.9983235540653814
0.99956	0.9966471081307627
0.999551	0.9949706621961442
0.999527	0.9932942162615256
0.999471	0.991617770326907
0.999463	0.9899413243922883
0.999442	0.9882648784576697
0.999441	0.9865884325230512
0.999422	0.9849119865884325
0.999415	0.9832355406538139
0.99941	0.9815590947191953
0.999402	0.9798826487845766
0.999377	0.9782062028499581
0.999367	0.9765297569153395
0.99935	0.9748533109807209
0.999293	0.9731768650461022
0.999291	0.9715004191114837
0.999253	0.9698239731768651
0.999247	0.9681475272422464
0.99923	0.9664710813076278
0.999102	0.9647946353730092
0.9991	0.9631181894383906
0.999081	0.961441743503772
0.999041	0.9597652975691534
0.999009	0.9564124056999161
0.999	0.953059513830679
0.998971	0.9497066219614417
0.998895	0.9463537300922046
0.998863	0.9430008382229673
0.998821	0.9396479463537301
0.99868	0.9362950544844929
0.998648	0.9329421626152556
0.998588	0.9295892707460185
0.998577	0.9262363788767812
0.998499	0.922883487007544
0.998434	0.9195305951383068
0.998402	0.9161777032690696
0.998359	0.9128248113998324
0.998325	0.9093880972338642
0.998167	0.905951383067896
0.998074	0.9025146689019279
0.998019	0.8990779547359598
0.997963	0.893964794635373
0.997941	0.8888516345347862
0.997891	0.8837384744341995
0.997883	0.8769488683989941
0.997873	0.8701592623637888
0.997739	0.8633696563285834
0.997644	0.856580050293378
0.997586	0.8497904442581726
0.997475	0.8430008382229673
0.997432	0.8362112321877619
0.997297	0.827745180217938
0.997243	0.819279128248114
0.997224	0.81081307627829
0.997133	0.802347024308466
0.997117	0.7938809723386421
0.997078	0.7854149203688181
0.996991	0.7752724224643756
0.99696	0.7651299245599329
0.996928	0.7549874266554903
0.996891	0.7448449287510478
0.996842	0.7347024308466052
0.996759	0.7245599329421626
0.996693	0.71441743503772
0.99662	0.7042749371332775
0.996615	0.6941324392288348
0.996605	0.6839899413243923
0.996408	0.6738474434199497
0.996289	0.6637049455155071
0.996271	0.6535624476110645
0.995985	0.643419949706622
0.995837	0.6332774518021794
0.995756	0.6231349538977368
0.995754	0.6129924559932942
0.995577	0.6028499580888517
0.995283	0.592707460184409
0.995255	0.5825649622799665
0.994715	0.5724224643755239
0.994595	0.5622799664710814
0.99445	0.5521374685666387
0.993876	0.5419949706621962
0.99386	0.5318524727577536
0.993565	0.5217099748533109
0.993474	0.5115674769488684
0.993287	0.5014249790444258
0.992897	0.4896060352053646
0.992829	0.47611064543168485
0.992639	0.46261525565800504
0.992228	0.4474434199497066
0.992202	0.4305951383067896
0.992145	0.41374685666387256
0.992125	0.39522212908633697
0.991991	0.3766974015088013
0.991506	0.35817267393126573
0.991178	0.3396479463537301
0.991149	0.31944677284157585
0.991132	0.29924559932942163
0.991006	0.2773679798826488
0.990956	0.2554903604358759
0.990437	0.2336127409891031
0.990374	0.21173512154233026
0.990169	0.1898575020955574
0.989377	0.16797988264878458
0.988812	0.14610226320201172
0.988436	0.1242246437552389
0.988422	0.10234702430846605
0.988294	0.08046940486169321
0.985279	0.05859178541492037
0.984066	0.03503772003352892
0.983008	0.011483654652137468
0.982962	-0.012070410729253982
0.982956	-0.03730092204526404
0.982727	-0.0625314333612741
0.98051	-0.08776194467728415
0.979494	-0.11466890192791282
0.979447	-0.14157585917854149
0.978353	-0.17015926236378875
0.977958	-0.19874266554903605
0.976759	-0.22900251466890192
0.974494	-0.2609388097233864
0.974323	-0.29287510477787093
0.970264	-0.3248113998323554
0.969345	-0.3584241408214585
0.967978	-0.3920368818105616
0.967786	-0.4273260687342833
0.965243	-0.4642917015926236
0.962528	-0.501257334450964
0.959399	-0.5398994132439229
0.959372	-0.5802179379715005
0.956036	-0.6205364626990779
0.954707	-0.6608549874266555
0.952421	-0.7028499580888516
0.951721	-0.7448449287510478
0.951486	-0.786839899413244
0.948186	-0.8288348700754401
0.947611	-0.8725062866722548
0.946669	-0.9178541492036881
0.943236	-0.9632020117351215
0.934419	-1.0085498742665548
0.93359	-1.0555741827326068
0.924855	-1.1025984911986588
0.924424	-1.1496227996647108
0.924031	-1.1966471081307628
0.920944	-1.2453478625314334
0.917762	-1.2956412405699915
0.917217	-1.3476110645431685
0.9168	-1.3995808885163454
0.905315	-1.4515507124895222
0.902998	-1.5051969823973177
0.902235	-1.5588432523051132
0.900588	-1.6141659681475273
0.899669	-1.6694886839899412
0.896084	-1.7248113998323553
0.892049	-1.781810561609388
0.884388	-1.8388097233864207
0.883857	-1.8958088851634536
0.883269	-1.9544844928751048
0.880582	-2.0148365465213747
0.879264	-2.076865046102263
0.86943	-2.1405699916177703
0.864789	-2.2042749371332775
0.86249	-2.2679798826487847
0.857636	-2.3333612740989103
0.854399	-2.3987426655490363
0.853022	-2.46580050293378
0.840022	-2.5328583403185245
0.839681	-2.6015926236378877
0.829755	-2.670326906957251
0.822758	-2.7407376362112323
0.819585	-2.812824811399832
0.807673	-2.8849119865884325
0.797868	-2.956999161777033
0.795043	-3.0290863369656327
0.770267	-3.101173512154233
0.768255	-3.1732606873428333
0.756107	-3.245347862531433
0.755125	-3.3191114836546523
0.754876	-3.392875104777871
0.738985	-3.4666387259010896
0.731043	-3.5404023470243087
0.728154	-3.6158424140821457
0.716343	-3.691282481139983
0.714913	-3.7683989941324394
0.702132	-3.847191953059514
0.692376	-3.927661357921207
0.682013	-4.009807208717519
0.672847	-4.0919530595138305
0.662586	-4.174098910310143
0.661114	-4.257921207041073
0.651286	-4.341743503772003
0.647674	-4.425565800502934
0.647609	-4.509388097233864
0.646199	-4.593210393964795
0.63028	-4.678709136630344
0.625803	-4.764207879295893
0.623527	-4.8513830678960606
0.610403	-4.940234702430846
0.597439	-5.0307627829002515
0.584955	-5.122967309304275
0.578993	-5.216848281642917
0.565524	-5.3124056999161775
0.562502	-5.407963118189438
0.541771	-5.503520536462699
0.541511	-5.600754400670579
0.524347	-5.699664710813076
0.521187	-5.8002514668901926
0.517882	-5.902514668901928
0.504746	-6.006454316848282
0.496801	-6.112070410729254
0.493932	-6.219362950544845
0.492858	-6.328331936295054
0.492052	-6.4389773679798825
0.472799	-6.549622799664711
0.461159	-6.660268231349539
0.441597	-6.772590108968986
0.414774	-6.884911986588433
0.387942	-6.997233864207879
0.3689	-7.109555741827326
0.357096	-7.223554065381392
0.356614	-7.337552388935457
0.354823	-7.451550712489523
0.352248	-7.5655490360435875
0.335471	-7.679547359597653
0.324771	-7.793545683151718
0.312449	-7.909220452640402
0.310522	-8.026571668063704
0.310209	-8.143922883487008
0.306535	-8.262950544844928
0.304421	-8.38365465213747
0.297812	-8.504358759430009
0.29446	-8.625062866722548
0.289134	-8.747443419949706
0.288606	-8.871500419111484
0.285852	-8.995557418273261
0.283147	-9.121290863369657
0.279932	-9.248700754400671
0.274505	-9.376110645431686
0.251255	-9.505196982397317
0.250212	-9.635959765297569
0.241732	-9.76839899413244
0.241208	-9.902514668901928
0.232603	-10.038306789606036
0.226136	-10.174098910310143
0.225222	-10.30989103101425
0.222185	-10.447359597652977
0.221867	-10.58650461022632
0.218747	-10.727326068734284
0.218406	-10.869823973176866
0.207407	-11.013998323554066
0.198853	-11.159849119865884
0.195085	-11.305699916177703
0.1931	-11.453227158424141
0.192545	-11.602430846605197
0.191394	-11.753310980720872
0.186959	-11.904191114836546
0.182519	-12.05674769488684
0.165673	-12.210980720871753
0.162994	-12.366890192791283
0.154933	-12.524476110645432
0.151808	-12.682062028499582
0.150744	-12.84132439228835
0.150738	-13.002263202011735
0.150462	-13.163202011735121
0.14642	-13.325817267393127
0.145363	-13.49010896898575
0.143121	-13.654400670578374
0.141172	-13.818692372170997
0.136898	-13.98466051969824
0.133688	-14.1523051131601
0.131939	-14.321709974853311
0.125661	-14.49279128248114
0.124214	-14.665549036043588
0.117322	-14.839983235540654
0.117057	-15.016093880972338
0.113743	-15.193880972338642
0.113243	-15.373344509639564
0.108638	-15.552808046940486
0.108325	-15.732271584241408
0.105541	-15.91173512154233
0.102347	-16.09287510477787
0.102234	-16.27569153394803
0.097362	-16.45850796311819
0.096737	-16.643000838222967
0.092965	-16.829170159262365
0.090358	-17.01701592623638
0.088516	-17.206538139145014
0.088298	-17.397736797988266
0.08438	-17.590611902766135
0.08425	-17.785163453478624
0.084022	-17.981391450125734
0.083305	-18.17929589270746
0.076674	-18.378876781223806
0.065457	-18.58013411567477
0.065098	-18.781391450125735
0.062893	-18.984325230511317
0.060111	-19.188935456831516
0.059341	-19.393545683151718
0.05748	-19.599832355406537
0.05448	-19.807795473595977
0.053892	-20.017435037720034
0.053466	-20.22707460184409
0.053166	-20.438390611902765
0.052703	-20.65138306789606
0.0521	-20.866051969823975
0.052044	-21.082397317686503
0.050892	-21.300419111483656
0.050891	-21.520117351215422
0.047352	-21.73981559094719
0.046843	-21.96119027661358
0.044767	-22.184241408214586
0.042732	-22.40896898575021
0.039882	-22.63537300922045
0.039539	-22.861777032690696
0.036391	-23.08985750209556
0.036108	-23.319614417435037
0.035747	-23.551047778709137
0.034011	-23.784157585917853
0.032971	-24.01894383906119
0.032567	-24.255406538139145
0.032065	-24.49354568315172
0.031922	-24.731852472757755
0.031057	-24.97015926236379
0.030735	-25.210142497904442
0.029876	-25.451802179379715
0.029632	-25.695138306789605
0.028366	-25.940150880134116
0.028003	-26.186839899413243
0.027558	-26.43352891869237
0.026413	-26.68189438390612
0.02588	-26.931936295054484
0.02559	-27.18365465213747
0.024907	-27.437049455155073
0.024835	-27.690444258172676
0.024221	-27.945515507124895
0.023692	-28.200586756077115
0.023328	-28.457334450963955
0.023296	-28.714082145850796
0.023111	-28.972506286672253
0.023026	-29.230930427493714
0.022838	-29.491031014249792
0.021908	-29.752808046940487
0.021471	-30.0162615255658
0.021246	-30.281391450125735
0.020397	-30.548197820620285
0.020215	-30.816680637049455
0.020145	-31.086839899413246
0.020024	-31.35867560771165
0.019279	-31.632187761944678
0.018899	-31.905783738474433
0.018598	-32.18105616093881
0.018149	-32.458005029337805
0.017726	-32.73503772003353
0.017684	-33.01207041072925
0.017537	-33.2907795473596
0.017173	-33.57116512992456
0.016632	-33.85322715842414
0.015985	-34.13696563285834
0.015817	-34.42238055322716
0.015799	-34.70787929589271
0.01552	-34.995054484492876
0.015163	-35.28390611902766
0.015072	-35.57443419949707
0.014808	-35.86663872590109
0.014521	-36.16051969823973
0.014449	-36.45607711651299
0.014202	-36.75331098072087
0.014075	-37.05222129086337
0.013818	-37.35113160100587
0.013674	-37.651718357082984
0.013635	-37.95398155909472
0.013568	-38.25632858340319
0.01314	-38.56035205364627
0.01276	-38.86605196982397
0.012594	-39.17342833193629
0.012137	-39.482481139983236
0.012035	-39.79161777032691
0.012032	-40.102430846605195
0.011748	-40.41492036881811
0.01164	-40.727493713327746
0.011489	-41.041743503772004
0.011302	-41.35766974015088
0.010874	-41.675272422464374
0.010778	-41.9929589270746
0.010672	-42.310729253981556
0.010501	-42.630176026823136
0.010331	-42.95129924559933
0.010285	-43.274098910310144
0.01025	-43.59857502095557
0.010249	-43.92321877619447
0.009945	-44.24794635373009
0.0099	-44.57292539815591
0.00985	-44.89958088851635
0.009768	-45.226320201173515
0.009738	-45.55322715842414
0.009541	-45.88181056160939
0.009435	-46.210477787091364
0.009247	-46.54082145850796
0.00924	-46.87284157585918
0.009112	-47.20653813914501
0.009038	-47.541911148365465
0.009001	-47.87736797988265
0.008996	-48.214501257334454
0.008948	-48.55331098072087
0.008928	-48.89220452640402
0.00871	-49.23277451802179
0.008694	-49.57502095557418
0.008628	-49.91894383906119
0.008576	-50.26454316848282
0.008353	-50.61181894383906
0.008282	-50.96077116512993
0.008244	-51.311399832355406
0.008175	-51.66202849958089
0.008162	-52.01433361274099
0.00816	-52.36672254819782
0.008146	-52.71911148365465
0.007992	-53.0731768650461
0.007944	-53.42891869237217
0.007832	-53.786336965632856
0.007748	-54.14543168482817
0.007609	-54.506202849958086
0.007543	-54.86865046102263
0.007406	-55.23277451802179
0.007094	-55.59857502095557
0.006961	-55.96605196982397
0.006902	-56.33352891869237
0.006897	-56.70268231349539
0.006735	-57.07351215423303
0.006695	-57.446018440905284
0.006671	-57.82020117351215
0.006392	-58.19606035205365
0.006311	-58.57359597652976
0.00601	-58.95280804694048
0.005971	-59.333696563285834
0.005923	-59.7162615255658
0.005881	-60.0989103101425
0.005879	-60.481642917015925
0.005778	-60.86605196982397
0.005771	-61.25213746856664
0.005737	-61.639899413243924
0.005642	-62.029337803855825
0.005633	-62.420452640402345
0.005475	-62.8116512992456
0.005435	-63.20452640402347
0.005209	-63.59907795473596
0.005189	-63.99530595138307
0.005173	-64.3932103939648
0.005102	-64.79279128248113
0.005038	-65.19404861693211
0.004959	-65.59698239731769
0.004951	-66.00159262363789
0.004921	-66.40787929589271
0.004916	-66.81584241408214
0.004873	-67.2254819782062
0.004847	-67.63679798826487
0.004753	-68.04979044425818
0.004656	-68.4628667225482
0.00464	-68.87761944677284
0.004585	-69.29245599329421
0.004559	-69.7089689857502
0.004519	-70.12715842414082
0.004473	-70.54543168482816
0.004465	-70.96538139145012
0.004438	-71.38541492036882
0.004397	-71.80712489522213
0.004333	-72.22891869237218
0.004286	-72.65079631181895
0.00419	-73.07275775356244
0.004126	-73.49639564124057
0.004055	-73.92170997485331
0.004046	-74.34870075440067
0.003944	-74.77736797988265
0.00393	-75.20611902766136
0.003902	-75.63654652137468
0.003897	-76.06865046102263
0.00386	-76.5024308466052
0.003827	-76.93788767812238
0.003746	-77.37502095557419
0.003735	-77.81215423302598
0.003728	-78.2509639564124
0.00363	-78.68977367979883
0.003622	-79.12866722548198
0.003611	-79.56923721709975
0.003577	-80.01148365465214
0.003576	-80.45381391450125
0.003563	-80.89782062028499
0.003557	-81.34191114836547
0.003541	-81.78608549874266
0.003483	-82.23193629505448
0.003413	-82.67946353730092
0.003412	-83.12707460184409
0.003363	-83.57636211232187
0.003358	-84.02732606873428
0.003322	-84.47837384744342
0.003259	-84.93109807208718
0.003247	-85.38390611902766
