CMDLINE python caphv_timespaceanalysis.py
MEM 1.847656 1730101437.0861
MEM 22.855469 1730101437.1868
MEM 38.910156 1730101437.2874
MEM 48.343750 1730101437.3878
MEM 58.523438 1730101437.4883
MEM 72.210938 1730101437.5888
MEM 82.359375 1730101437.6892
MEM 102.300781 1730101437.7897
MEM 108.769531 1730101437.8903
MEM 109.164062 1730101437.9907
MEM 109.164062 1730101438.0910
MEM 109.164062 1730101438.1915
MEM 109.164062 1730101438.2920
MEM 109.164062 1730101438.3924
MEM 109.164062 1730101438.4928
MEM 109.164062 1730101438.5933
MEM 109.164062 1730101438.6937
MEM 109.164062 1730101438.7942
MEM 109.164062 1730101438.8948
MEM 109.164062 1730101438.9953
MEM 109.164062 1730101439.0957
MEM 109.164062 1730101439.1962
MEM 109.164062 1730101439.2968
MEM 109.164062 1730101439.3973
MEM 109.164062 1730101439.4979
MEM 109.164062 1730101439.5985
MEM 109.164062 1730101439.6991
MEM 109.164062 1730101439.7996
MEM 109.164062 1730101439.9000
MEM 109.164062 1730101440.0004
MEM 109.164062 1730101440.1008
MEM 109.164062 1730101440.2014
MEM 109.164062 1730101440.3018
MEM 109.164062 1730101440.4023
MEM 109.164062 1730101440.5029
MEM 109.164062 1730101440.6035
MEM 109.164062 1730101440.7041
MEM 109.164062 1730101440.8047
MEM 109.164062 1730101440.9053
MEM 109.164062 1730101441.0057
MEM 109.164062 1730101441.1061
MEM 109.164062 1730101441.2065
MEM 109.164062 1730101441.3069
MEM 109.164062 1730101441.4073
MEM 109.164062 1730101441.5077
MEM 109.164062 1730101441.6081
MEM 109.164062 1730101441.7086
MEM 109.164062 1730101441.8090
MEM 109.164062 1730101441.9094
MEM 109.164062 1730101442.0098
MEM 109.164062 1730101442.1102
MEM 109.164062 1730101442.2107
MEM 109.164062 1730101442.3113
MEM 109.164062 1730101442.4119
MEM 109.164062 1730101442.5123
MEM 109.164062 1730101442.6127
MEM 109.164062 1730101442.7131
MEM 109.164062 1730101442.8135
MEM 109.164062 1730101442.9139
MEM 109.164062 1730101443.0143
MEM 109.164062 1730101443.1147
MEM 109.164062 1730101443.2151
MEM 109.164062 1730101443.3156
MEM 109.164062 1730101443.4160
MEM 109.164062 1730101443.5164
MEM 109.164062 1730101443.6168
MEM 109.164062 1730101443.7172
MEM 109.164062 1730101443.8176
MEM 109.164062 1730101443.9180
MEM 109.164062 1730101444.0184
MEM 109.164062 1730101444.1188
MEM 109.164062 1730101444.2192
MEM 109.164062 1730101444.3196
MEM 109.164062 1730101444.4200
MEM 109.164062 1730101444.5204
MEM 109.164062 1730101444.6208
MEM 109.164062 1730101444.7213
MEM 109.164062 1730101444.8217
MEM 109.164062 1730101444.9221
MEM 109.164062 1730101445.0225
MEM 109.164062 1730101445.1230
MEM 109.164062 1730101445.2234
MEM 109.164062 1730101445.3238
MEM 109.164062 1730101445.4242
MEM 109.164062 1730101445.5246
MEM 109.164062 1730101445.6250
MEM 109.164062 1730101445.7254
MEM 109.164062 1730101445.8260
MEM 109.164062 1730101445.9264
MEM 109.164062 1730101446.0271
MEM 109.164062 1730101446.1277
MEM 109.164062 1730101446.2289
MEM 109.164062 1730101446.3295
MEM 109.164062 1730101446.4300
MEM 109.164062 1730101446.5314
MEM 109.164062 1730101446.6321
MEM 109.164062 1730101446.7328
MEM 109.164062 1730101446.8333
MEM 109.164062 1730101446.9339
MEM 109.164062 1730101447.0345
MEM 109.164062 1730101447.1351
MEM 109.164062 1730101447.2355
MEM 109.164062 1730101447.3369
MEM 109.164062 1730101447.4377
MEM 109.164062 1730101447.5384
MEM 109.164062 1730101447.6389
MEM 109.164062 1730101447.7394
MEM 109.164062 1730101447.8399
MEM 109.164062 1730101447.9404
MEM 109.164062 1730101448.0410
MEM 109.164062 1730101448.1415
MEM 109.164062 1730101448.2422
MEM 109.164062 1730101448.3429
MEM 109.164062 1730101448.4433
MEM 109.164062 1730101448.5439
MEM 109.164062 1730101448.6444
MEM 109.164062 1730101448.7450
MEM 109.164062 1730101448.8455
MEM 109.171875 1730101448.9459
MEM 108.757812 1730101449.0463
