CMDLINE python multasktf_timespace.py
MEM 1.453125 1730256916.4124
MEM 40.351562 1730256916.5129
MEM 83.968750 1730256916.6133
MEM 108.019531 1730256916.7137
MEM 122.992188 1730256916.8141
MEM 167.542969 1730256916.9145
MEM 195.843750 1730256917.0149
MEM 200.144531 1730256917.1153
MEM 218.085938 1730256917.2157
MEM 226.648438 1730256917.3161
MEM 236.105469 1730256917.4164
MEM 242.410156 1730256917.5168
MEM 257.917969 1730256917.6173
MEM 274.621094 1730256917.7178
MEM 281.714844 1730256917.8183
MEM 294.667969 1730256917.9189
MEM 303.742188 1730256918.0192
MEM 313.144531 1730256918.1196
MEM 314.687500 1730256918.2200
MEM 322.398438 1730256918.3203
MEM 339.906250 1730256918.4207
MEM 357.089844 1730256918.5212
MEM 372.089844 1730256918.6218
MEM 389.875000 1730256918.7223
MEM 407.429688 1730256918.8228
MEM 424.292969 1730256918.9234
MEM 441.152344 1730256919.0239
MEM 458.644531 1730256919.1244
MEM 476.437500 1730256919.2249
MEM 492.363281 1730256919.3255
MEM 509.835938 1730256919.4260
MEM 527.343750 1730256919.5266
MEM 543.500000 1730256919.6272
MEM 561.093750 1730256919.7277
MEM 578.589844 1730256919.8282
MEM 594.796875 1730256919.9288
MEM 612.304688 1730256920.0293
MEM 630.054688 1730256920.1299
MEM 646.031250 1730256920.2305
MEM 663.773438 1730256920.3310
MEM 681.324219 1730256920.4315
MEM 697.250000 1730256920.5321
MEM 715.039062 1730256920.6326
MEM 732.562500 1730256920.7331
MEM 739.125000 1730256920.8337
MEM 755.128906 1730256920.9343
MEM 772.640625 1730256921.0348
MEM 790.117188 1730256921.1353
MEM 806.027344 1730256921.2359
MEM 823.757812 1730256921.3364
MEM 841.253906 1730256921.4369
MEM 857.160156 1730256921.5376
MEM 874.695312 1730256921.6381
MEM 892.289062 1730256921.7386
MEM 908.488281 1730256921.8393
MEM 926.011719 1730256921.9398
MEM 943.750000 1730256922.0403
MEM 959.656250 1730256922.1409
MEM 975.738281 1730256922.2415
MEM 975.738281 1730256922.3419
MEM 983.515625 1730256922.4424
MEM 938.757812 1730256922.5431
MEM 734.257812 1730256922.6437
MEM 448.800781 1730256922.7442
MEM 448.800781 1730256922.8448
MEM 451.312500 1730256922.9454
MEM 480.218750 1730256923.0460
