CMDLINE python transppi_timespace.py
MEM 8.074219 1730778761.5658
MEM 20.167969 1730778761.6663
MEM 28.621094 1730778761.7666
MEM 35.640625 1730778761.8670
MEM 41.335938 1730778761.9674
MEM 49.695312 1730778762.0678
MEM 60.570312 1730778762.1681
MEM 66.597656 1730778762.2685
MEM 75.257812 1730778762.3688
MEM 80.167969 1730778762.4692
MEM 86.546875 1730778762.5697
MEM 89.417969 1730778762.6700
MEM 93.386719 1730778762.7706
MEM 138.500000 1730778762.8710
MEM 187.437500 1730778762.9713
MEM 192.320312 1730778763.0716
MEM 196.195312 1730778763.1721
MEM 205.492188 1730778763.2727
MEM 210.589844 1730778763.3730
MEM 217.878906 1730778763.4735
MEM 224.261719 1730778763.5739
MEM 230.246094 1730778763.6742
MEM 233.652344 1730778763.7747
MEM 238.265625 1730778763.8750
MEM 241.160156 1730778763.9753
MEM 245.171875 1730778764.0759
MEM 248.960938 1730778764.1764
MEM 252.906250 1730778764.2768
MEM 257.636719 1730778764.3771
MEM 262.660156 1730778764.4774
MEM 271.222656 1730778764.5778
MEM 274.164062 1730778764.6781
MEM 276.203125 1730778764.7787
MEM 279.523438 1730778764.8791
MEM 281.886719 1730778764.9795
MEM 285.652344 1730778765.0798
MEM 296.222656 1730778765.1802
MEM 296.421875 1730778765.2806
MEM 297.242188 1730778765.3809
MEM 298.066406 1730778765.4812
MEM 298.640625 1730778765.5816
MEM 300.664062 1730778765.6819
MEM 304.074219 1730778765.7823
MEM 306.371094 1730778765.8826
MEM 309.902344 1730778765.9830
MEM 320.074219 1730778766.0833
MEM 325.671875 1730778766.1837
MEM 334.714844 1730778766.2840
MEM 338.523438 1730778766.3843
MEM 340.460938 1730778766.4848
MEM 342.695312 1730778766.5852
MEM 342.828125 1730778766.6859
MEM 343.082031 1730778766.7862
MEM 343.218750 1730778766.8866
MEM 343.472656 1730778766.9869
MEM 343.750000 1730778767.0872
MEM 346.398438 1730778767.1875
MEM 347.636719 1730778767.2879
MEM 348.410156 1730778767.3882
MEM 348.925781 1730778767.4886
MEM 349.441406 1730778767.5889
MEM 350.214844 1730778767.6892
MEM 350.730469 1730778767.7895
MEM 350.988281 1730778767.8899
MEM 352.277344 1730778767.9902
MEM 353.050781 1730778768.0905
MEM 353.566406 1730778768.1908
MEM 353.824219 1730778768.2912
MEM 355.113281 1730778768.3915
MEM 354.953125 1730778768.4918
MEM 355.722656 1730778768.5922
MEM 356.238281 1730778768.6925
MEM 356.753906 1730778768.7928
MEM 357.269531 1730778768.8931
MEM 357.785156 1730778768.9935
MEM 358.042969 1730778769.0938
MEM 358.816406 1730778769.1941
MEM 359.074219 1730778769.2945
MEM 359.589844 1730778769.3948
MEM 359.589844 1730778769.4951
MEM 360.105469 1730778769.5954
MEM 360.621094 1730778769.6958
MEM 361.136719 1730778769.7961
MEM 361.136719 1730778769.8964
MEM 361.394531 1730778769.9968
MEM 362.167969 1730778770.0971
MEM 362.941406 1730778770.1974
MEM 363.972656 1730778770.2977
MEM 364.230469 1730778770.3981
MEM 365.003906 1730778770.4985
MEM 365.519531 1730778770.5988
MEM 365.777344 1730778770.6991
MEM 366.550781 1730778770.7995
MEM 367.066406 1730778770.8998
MEM 368.097656 1730778771.0001
MEM 368.355469 1730778771.1005
MEM 368.871094 1730778771.2008
MEM 369.644531 1730778771.3011
MEM 370.160156 1730778771.4014
MEM 370.675781 1730778771.5018
MEM 371.449219 1730778771.6021
MEM 372.738281 1730778771.7025
MEM 372.996094 1730778771.8028
MEM 373.253906 1730778771.9032
MEM 373.769531 1730778772.0035
MEM 374.542969 1730778772.1038
MEM 375.058594 1730778772.2041
MEM 375.574219 1730778772.3045
MEM 375.574219 1730778772.4048
MEM 375.832031 1730778772.5052
MEM 376.089844 1730778772.6055
