virus_unid	human_unid	pred_score
B9UPF3	P30101	0.9999957084655762
P10211	P0CG48	0.17848393321037292
Q76RC6	P42224	0.03475479409098625
P10234	Q16666	0.635428786277771
Q805P6	O75190	0.9999963045120239
P30020	P51610	0.0
A4D8X6	Q53GL7	0.0
R9UQM6	P02786	0.9999958276748657
P0DSV7	P01375	0.999990701675415
P10185	Q16666	0.009994071908295155
P30911	Q12959	1.0
P03211	Q93009	0.0
G8HBD9	Q16666	0.38508421182632446
P68323	P15529	0.9048407673835754
Q9QAI4	P21333	0.0
P03496	Q8WYJ6	0.029344001784920692
P04512	P56199	0.0
P03225	Q8N2S1	0.0
A1Z0P7	Q9UKJ1	0.5124258399009705
P19893	P09651	0.9999831914901733
F8RFA1	Q16666	0.743238091468811
Q20MD4	Q92997	0.9997217059135437
P10230	P27348	0.9998843669891357
P06459	P63165	0.9998921155929565
P59596	P61769	1.0
Q20MH3	P27986	0.9999985694885254
P24935	Q9UI95	0.9997593760490417
A4ZNQ3	P40429	1.0
P11158	Q13753	0.0
Q77DJ6	P46934	0.0
P59637	P61769	1.0
P03437	P01903	0.0269619170576334
P0DTC5	P0C0L5	0.0
Q194T2	P09661	0.9999998807907104
P0DTC4	Q8N3R9	0.9857483506202698
P0C6Z6	Q13651	0.9989080429077148
P03139	O75843	0.9941938519477844
Q20MD0	Q9Y2D8	0.999998927116394
B4URA9	Q14258	0.9995905756950378
A0A5J6DW60	Q16666	0.009994071908295155
P15240	P00747	1.6520072421144505e-08
F5H9G3	Q93009	0.0
Q779E8	Q9UI95	0.9997593760490417
P88937	Q9UIV1	0.9882899522781372
P04291	Q16666	0.27858737111091614
A0A5J6DVX6	P18621	0.8636787533760071
C8XNX3	Q15477	0.0
A0A0B6VKU0	P27694	0.9998917579650879
Q81871	Q9H6X4	7.534285695331988e-12
Q1HVF7	Q92973	0.9988478422164917
F5HIC6	Q92793	0.0
K9N4V0	Q15477	0.0
Q9QJ49	P04637	0.9987906813621521
Q3ZK64	Q13751	0.0
Q9ICL0	Q08174	0.0
F5HAR0	Q13546	0.9990189075469971
P88986	P0C0L5	0.0
B2BUF1	O14646	0.0
Q6SWW3	Q9Y5K6	0.5092732906341553
Q9Q2P1	P63244	7.739552529528737e-05
B4UPA8	P11142	1.0
P0DKB0	Q9UQ52	0.0
Q76R62	Q14624	0.9900017976760864
P88940	Q15397	0.9196057915687561
Q2PJP0	P46108	0.8794696927070618
P52584	P35968	0.0
Q6SW29	P06400	1.0
P06929	P18848	0.9999849796295166
Q9IBY5	Q9HD26	0.9974730610847473
P0CK47	Q9UBX5	0.9990621209144592
Q9YKI3	O00410	0.0
A3EXD4	Q96RT1	0.0
F8RE30	Q16666	0.635428786277771
Q6TVJ1	Q86VP6	0.0
R9UMC1	O00566	0.0006194119923748076
X5HMX4	O15118	0.0
A4GDF4	P42224	0.03475479409098625
I6TAG8	Q9UL40	0.9999996423721313
Q69114	P28799	0.01930452324450016
A0A7S4U3Y4	P62258	0.9999995231628418
B9UPF3	Q9Y5M8	1.0
P10211	P0CG48	0.17848390340805054
Q76RC6	P42224	0.03475479409098625
P10234	Q16666	0.635428786277771
P30020	P51610	0.0
A4D8X6	Q53GL7	0.0
R9UQM6	P46379	0.0
P0DSV7	P49069	1.0
P10185	Q16666	0.009994071908295155
P30911	Q12959	1.0
Q9WNA9	O95153	0.0
P03211	O95271	0.0
G8HBD9	Q16666	0.38508421182632446
P68323	P15529	0.9048407673835754
Q9QAI4	Q9H4A3	0.0
Q9DUN1	Q93009	0.0
P03496	Q96SI9	0.9999998807907104
P88992	Q5VU43	0.0
P04512	P56199	0.0
A1Z0P7	Q9UKJ1	0.5124258399009705
F8RFA1	Q16666	0.7432380318641663
Q20MD4	Q92997	0.9997217059135437
P10230	Q04917	0.999980092048645
P06459	P07305	0.869165301322937
P59596	P61769	1.0
Q99152	Q92621	0.0
P24935	Q9UI95	0.9997593760490417
A4ZNQ3	Q92966	0.9578249454498291
Q77DJ6	P46934	0.0
P59637	P68363	0.9992238283157349
P03437	P01903	0.0269619170576334
P0DTC5	O95832	0.044718001037836075
Q194T2	P05455	0.9998681545257568
P0DTC4	P20700	0.9999676942825317
P0C6Z6	Q13651	0.9989080429077148
P03139	O75843	0.9941938519477844
Q20MD0	O00505	1.0
B4URA9	Q14258	0.9995905756950378
A0A5J6DW60	Q16666	0.009994071908295155
P15240	P00747	1.6520072421144505e-08
F5H9G3	Q93009	0.0
Q779E8	Q9UI95	0.9997593760490417
P88937	Q9ULM6	2.5490870265293397e-12
P04291	Q16666	0.27858737111091614
A0A5J6DVX6	P63267	4.41753763880115e-06
C8XNX3	Q15477	0.0
A0A0B6VKU0	Q9UBQ7	0.14471080899238586
Q81871	Q9H6X4	7.534285695331988e-12
F5HIC6	Q14653	0.9979752898216248
K9N4V0	Q15477	0.0
Q9QJ49	P04637	0.9987906813621521
Q3ZK64	Q13751	0.0
Q9ICL0	Q08174	0.0
F5HAR0	Q13546	0.9990189075469971
P88986	Q86V48	0.0
B2BUF1	O14646	0.0
Q6SWW3	O14818	0.8178299069404602
Q9Q2P1	P63244	7.739552529528737e-05
B4UPA8	P15311	0.9999953508377075
P0DKB0	Q9UQ52	0.0
P88940	P56537	0.8803436756134033
Q2PJP0	Q8NC69	0.9999234676361084
P52584	P35968	0.0
Q6SW29	P06400	1.0
Q9IBY5	Q9HD26	0.9974730610847473
Q9YKI3	O00410	0.0
O39474	P05455	0.9941956400871277
A3EXD4	Q96RT1	0.0
F8RE30	Q16666	0.6354286074638367
Q6TVJ1	Q86VP6	0.0
R9UMC1	Q5VV52	6.20914235582859e-08
Q9DLK6	O94986	0.0
X5HMX4	O15118	0.0
A4GDF4	P42224	0.034754782915115356
I6TAG8	O75525	0.9425848126411438
Q69114	P28799	0.01930452324450016
A0A7S4U3Y4	P61981	0.9999388456344604
B9UPF3	Q9Y5M8	1.0
P10211	P0CG48	0.17848394811153412
Q76RC6	P42224	0.034754782915115356
P10234	Q16666	0.635428786277771
P30020	P51610	0.0
A4D8X6	Q53GL7	0.0
R9UQM6	P46379	0.0
P0DSV7	P49069	1.0
P10185	Q16666	0.009994071908295155
P30911	Q12959	1.0
Q9WNA9	O95153	0.0
P03211	O95271	0.0
G8HBD9	Q16666	0.385084331035614
P68323	P15529	0.9048407673835754
Q9QAI4	Q9H4A3	0.0
Q9DUN1	Q93009	0.0
P03496	Q96SI9	0.9999998807907104
P88992	Q5VU43	0.0
P04512	P56199	0.0
A1Z0P7	Q9UKJ1	0.5124258399009705
F8RFA1	Q16666	0.7432381510734558
Q20MD4	Q92997	0.9997217059135437
P10230	Q04917	0.999980092048645
P06459	P07305	0.869165301322937
P59596	P61769	1.0
Q99152	Q92621	0.0
P24935	Q9UI95	0.9997593760490417
A4ZNQ3	Q92966	0.9578249454498291
Q77DJ6	P46934	0.0
P59637	P68363	0.9992238283157349
P03437	P01903	0.0269619170576334
P0DTC5	O95832	0.044718001037836075
Q194T2	P05455	0.9998681545257568
P0DTC4	P20700	0.9999676942825317
P0C6Z6	Q13651	0.9989080429077148
P03139	O75843	0.9941938519477844
Q20MD0	O00505	1.0
B4URA9	Q14258	0.9995905756950378
A0A5J6DW60	Q16666	0.009994071908295155
P15240	P00747	1.6520072421144505e-08
F5H9G3	Q93009	0.0
Q779E8	Q9UI95	0.9997593760490417
P88937	Q9ULM6	2.5490870265293397e-12
P04291	Q16666	0.2785874605178833
A0A5J6DVX6	P63267	4.41753763880115e-06
C8XNX3	Q15477	0.0
