human_unid	virus_unid	pred_score
P0CG48	P10211	0.038
P42224	Q76RC6	0.207
O75190	Q805P6	0.109
Q13651	P03180	0.062
Q53GL7	A4D8X6	0.077
P02786	R9UQM6	0.10300000000000001
P01375	P0DSV7	0.057999999999999996
Q14103	P03454	0.154
P15529	P68323	0.049
P21333	Q9QAI4	0.247
Q8N2S1	P03225	0.124
Q9UKJ1	A1Z0P7	0.057
P63165	P06459	0.077
P61769	P59596	0.057999999999999996
O14641	P03495	0.121
Q9UI95	P24935	0.067
P61769	P59637	0.066
P0C0L5	P0DTC5	0.13
P09661	Q194T2	0.187
Q8N3R9	P0DTC4	0.102
Q16666	A0A5J6DW60	0.19399999999999998
P00747	P15240	0.038
Q93009	F5H9G3	0.102
Q9UI95	Q779E8	0.061
Q13888	P21698	0.048
P18621	A0A5J6DVX6	0.135
Q15477	C8XNX3	0.07200000000000001
P27694	A0A0B6VKU0	0.33299999999999996
Q9H6X4	Q81871	0.027999999999999997
P21912	Q98131	0.161
Q15477	K9N4V0	0.038
Q13546	F5HAR0	0.045
Q9Y5K6	Q6SWW3	0.14400000000000002
P63244	Q9Q2P1	0.099
P11142	B4UPA8	0.221
Q14624	Q76R62	0.081
P18848	P06929	0.10300000000000001
Q9UBX5	P0CK47	0.08900000000000001
O00410	Q9YKI3	0.239
Q16666	F8RE30	0.17600000000000002
O00566	R9UMC1	0.146
Q9UL40	I6TAG8	0.14300000000000002
P62258	A0A7S4U3Y4	0.12300000000000001
P0CG48	P10211	0.038
P42224	Q76RC6	0.207
Q13651	P03180	0.062
Q53GL7	A4D8X6	0.077
P46379	R9UQM6	0.18100000000000002
P49069	P0DSV7	0.057
P08195	P03454	0.11599999999999999
P15529	P68323	0.049
Q9H4A3	Q9QAI4	0.303
Q93009	Q9DUN1	0.107
Q9UKJ1	A1Z0P7	0.057
P07305	P06459	0.135
P61769	P59596	0.057999999999999996
Q9UI95	P24935	0.067
P68363	P59637	0.11
O95832	P0DTC5	0.057
P05455	Q194T2	0.179
P20700	P0DTC4	0.124
Q16666	A0A5J6DW60	0.19399999999999998
P00747	P15240	0.038
Q01813	P03452	0.146
Q93009	F5H9G3	0.102
Q9UI95	Q779E8	0.061
Q13888	P21698	0.048
P63267	A0A5J6DVX6	0.105
Q15477	C8XNX3	0.07200000000000001
Q9UBQ7	A0A0B6VKU0	0.131
Q9H6X4	Q81871	0.027999999999999997
P21912	Q98131	0.161
Q15477	K9N4V0	0.038
Q13546	F5HAR0	0.045
O14818	Q6SWW3	0.125
P63244	Q9Q2P1	0.099
P15311	B4UPA8	0.16399999999999998
O15162	P0CK47	0.113
O00410	Q9YKI3	0.239
P05455	O39474	0.115
Q16666	F8RE30	0.17600000000000002
Q5VV52	R9UMC1	0.032
O75525	I6TAG8	0.221
P61981	A0A7S4U3Y4	0.111
P0CG48	P10211	0.038
P42224	Q76RC6	0.207
Q13651	P03180	0.062
Q53GL7	A4D8X6	0.077
P46379	R9UQM6	0.18100000000000002
P49069	P0DSV7	0.057
P08195	P03454	0.11599999999999999
P15529	P68323	0.049
Q9H4A3	Q9QAI4	0.303
Q93009	Q9DUN1	0.107
Q9UKJ1	A1Z0P7	0.057
P07305	P06459	0.135
P61769	P59596	0.057999999999999996
Q9UI95	P24935	0.067
P68363	P59637	0.11
O95832	P0DTC5	0.057
P05455	Q194T2	0.179
P20700	P0DTC4	0.124
Q16666	A0A5J6DW60	0.19399999999999998
P00747	P15240	0.038
Q01813	P03452	0.146
Q93009	F5H9G3	0.102
Q9UI95	Q779E8	0.061
Q13888	P21698	0.048
P63267	A0A5J6DVX6	0.105
Q15477	C8XNX3	0.07200000000000001
Q9UBQ7	A0A0B6VKU0	0.131
Q9H6X4	Q81871	0.027999999999999997
P21912	Q98131	0.161
Q15477	K9N4V0	0.038
Q13546	F5HAR0	0.045
O14818	Q6SWW3	0.125
P63244	Q9Q2P1	0.099
P15311	B4UPA8	0.16399999999999998
O15162	P0CK47	0.113
O00410	Q9YKI3	0.239
P05455	O39474	0.115
Q16666	F8RE30	0.17600000000000002
Q5VV52	R9UMC1	0.032
O75525	I6TAG8	0.221
P61981	A0A7S4U3Y4	0.111
P0CG48	P10211	0.038
P42224	Q76RC6	0.207
Q13651	P03180	0.062
Q53GL7	A4D8X6	0.077
P46379	R9UQM6	0.18100000000000002
P49069	P0DSV7	0.057
P08195	P03454	0.11599999999999999
P15529	P68323	0.049
Q9H4A3	Q9QAI4	0.303
Q93009	Q9DUN1	0.107
Q9UKJ1	A1Z0P7	0.057
P07305	P06459	0.135
P61769	P59596	0.057999999999999996
Q9UI95	P24935	0.067
P68363	P59637	0.11
O95832	P0DTC5	0.057
P05455	Q194T2	0.179
