virus_unid	human_unid	label	pred_score
B9UPF3	P30101	1.0	0.971544
P10211	P0CG48	1.0	0.999732
D3JIT8	Q96DU3	1.0	0.000528
Q76RC6	P42224	1.0	0.999045
P10234	Q16666	1.0	0.998826
Q805P6	O75190	1.0	0.890387
P06930	Q5T7W7	1.0	0.402467
P30020	P51610	1.0	0.912284
Q05320	P14314	1.0	0.779425
A0A0C7TUY8	Q9UHV2	1.0	0.029181
P14357	Q9Y3T6	1.0	0.000801
P03180	Q13651	1.0	0.998328
A4D8X6	Q53GL7	1.0	0.961579
R9UQM6	P02786	1.0	0.749704
Q3KSS3	Q9NSC5	1.0	0.840474
P0DSV7	P01375	1.0	0.994712
P10185	Q16666	1.0	0.998575
P87662	Q00403	1.0	0.996323
Q1NZ49	P04637	1.0	0.99983
P30911	Q12959	1.0	0.999877
P17371	P02511	1.0	0.943676
P88990	P56962	1.0	0.995222
P03493	Q9BRH9	1.0	0.000213
Q9WNA9	P06241	1.0	0.998195
P03211	Q93009	1.0	0.985784
P03454	Q14103	1.0	0.999901
G8HBD9	Q16666	1.0	0.999764
P68323	P15529	1.0	0.271697
Q9QAI4	P21333	1.0	0.997281
P10201	Q9UKT9	1.0	0.993367
A4URT5	Q9HD26	1.0	0.992209
Q9DUN1	Q99471	1.0	0.999574
P03496	Q8WYJ6	1.0	0.996153
P88992	Q86T75	1.0	0.001325
P04512	P56199	1.0	0.999773
P03225	Q8N2S1	1.0	0.013253
P20505	Q9UQF2	1.0	0.129553
A1Z0P7	Q9UKJ1	1.0	0.067693
P36801	P12004	1.0	0.999838
P19893	P09651	1.0	0.999831
F8RFA1	Q16666	1.0	0.998696
Q99AU3	P46109	1.0	0.999861
Q20MD4	Q92997	1.0	0.875238
P10227	O15162	1.0	0.960006
P10230	P27348	1.0	0.999586
Q6TVW2	Q13616	1.0	0.999288
P06459	P63165	1.0	0.998274
P59596	P61769	1.0	0.249892
P03495	O14641	1.0	0.999945
Q20MH3	P27986	1.0	0.999867
Q9QR69	O00165	1.0	0.940696
Q99152	Q9H2H8	1.0	0.028988
A9QPL9	Q10589	1.0	0.008567
P24935	Q9UI95	1.0	0.91568
P06428	P84022	1.0	0.999871
A4ZNQ3	P40429	1.0	0.999854
P88981	P27694	1.0	0.99603
P11158	Q13753	1.0	0.688952
Q77DJ6	P46934	1.0	0.903177
Q3KSS4	Q99750	1.0	0.748053
P59637	P61769	1.0	0.018843
P03437	P01903	1.0	0.99823
O57300	P78556	1.0	0.847983
P0DTC5	P0C0L5	1.0	0.000666
P03086	Q99689	1.0	0.022836
Q194T2	P09661	1.0	0.999936
P10210	Q8N9W6	1.0	0.89912
P0DTC4	Q8N3R9	1.0	0.926628
P0C6Z6	Q13651	1.0	0.998328
P03139	O75843	1.0	0.99714
Q20MD0	Q9Y2D8	1.0	0.999621
B4URA9	Q14258	1.0	0.999742
A0A5J6DW60	Q16666	1.0	0.998575
P15240	P00747	1.0	0.104858
P03452	Q9Y5P4	1.0	0.980758
P04543	O95786	1.0	0.158921
Q30NB4	Q9H1Y0	1.0	0.999455
B4URE7	Q3ZCQ8	1.0	0.996156
Q6SWB7	Q9Y4K3	1.0	0.966469
F5H9G3	Q93009	1.0	0.999595
P04862	O15111	1.0	0.969709
Q779E8	Q9UI95	1.0	0.91568
P21698	Q13888	1.0	0.158073
P88937	Q9UIV1	1.0	0.996355
P04291	Q16666	1.0	0.992323
A0A5J6DVX6	P18621	1.0	0.998546
Q1K9G9	P60953	1.0	0.999533
C8XNX3	Q15477	1.0	0.998674
