human_unid	virus_unid	pred_score
Q9NPD5	Q9Q6P4	0.031
Q96EP9	Q9Q6P4	0.084
Q9NRA2	Q9Q6P4	0.056
P33032	Q9Q6P4	0.045
P20309	Q9Q6P4	0.046
A0A577	Q9Q6P4	0.068
Q9UHC9	Q9Q6P4	0.043
Q15286	Q9Q6P4	0.069
Q96KG7	Q9Q6P4	0.063
P04430	Q9Q6P4	0.113
Q7Z5N4	Q9Q6P4	0.051
P04234	Q9Q6P4	0.084
P35372	Q9Q6P4	0.052
Q96GR2	Q9Q6P4	0.057
P21583	Q9Q6P4	0.078
P51164	Q9Q6P4	0.063
P41145	Q9Q6P4	0.057
P49685	Q9Q6P4	0.079
Q496F6	Q9Q6P4	0.110
A0A597	Q9Q6P4	0.081
O14626	Q9Q6P4	0.058
P05129	Q9Q6P4	0.059
Q01844	Q9Q6P4	0.062
A0A0B4J241	Q9Q6P4	0.055
P41587	Q9Q6P4	0.069
P31995	Q9Q6P4	0.089
Q9ULB1	Q9Q6P4	0.067
P16144	Q9Q6P4	0.054
A0A0C4DH25	Q9Q6P4	0.163
P52799	Q9Q6P4	0.084
O00526	Q9Q6P4	0.073
Q14524	Q9Q6P4	0.049
Q13255	Q9Q6P4	0.045
Q96D42	Q9Q6P4	0.065
P06312	Q9Q6P4	0.089
Q13324	Q9Q6P4	0.087
Q8NG94	Q9Q6P4	0.051
Q8NH90	Q9Q6P4	0.070
Q16512	Q9Q6P4	0.058
P50151	Q9Q6P4	0.061
P09619	Q9Q6P4	0.042
O75056	Q9Q6P4	0.069
Q9Y2C9	Q9Q6P4	0.078
Q15700	Q9Q6P4	0.053
Q7RTX0	Q9Q6P4	0.042
Q9Y6J6	Q9Q6P4	0.105
Q9NS75	Q9Q6P4	0.064
P18084	Q9Q6P4	0.077
Q16651	Q9Q6P4	0.072
Q9UM47	Q9Q6P4	0.040
P20020	Q9Q6P4	0.059
A0A075B6S5	Q9Q6P4	0.139
A0A0C4DH28	Q9Q6P4	0.067
P56856	Q9Q6P4	0.062
Q08357	Q9Q6P4	0.053
P51677	Q9Q6P4	0.099
P15529	Q9Q6P4	0.091
Q9Y5X1	Q9Q6P4	0.065
Q92629	Q9Q6P4	0.069
Q6UXG2	Q9Q6P4	0.078
