virus_unid	human_unid	rank	allnum
A0A024B7W1	Q06418	162	1418
A0A024B7W1	Q9NNX6	823	1418
A0A024B7W1	P30530	825	1418
A0A068EWX3	Q9UBH6	557	1418
A0A0A7E6E7	Q9NNX6	845	1418
A0A0A7E6E7	P49238	955	1418
A0A0A7E6E7	Q9H2X3	1111	1418
A0A0G2QX14	Q14973	428	1418
A0A0G2QX14	P78333	1357	1418
A0A1W6J8G8	P15529	273	1418
AAA50478	Q14108	842	1418
AAB39968	Q14242	332	1418
AAB39968	Q14108	547	1418
AAC96087	Q8WUM9	1040	1418
AAD17729	P05556	895	1418
AAD17729	P17301	1045	1418
AAO61196	Q08357	711	1418
AAQ73076	P08174	138	1418
AAQ73083	P08174	145	1418
AAQ73084	P08174	109	1418
AAQ73089	P08174	248	1418
AAQ73093	P08174	143	1418
AAQ73096	P08174	344	1418
AEF12608	Q9HAB3	1009	1418
AEF12608	Q9NWF4	1021	1418
AEI59724	Q9UBH6	587	1418
AP_000135	P78310	604	1418
AP_000157	P15529	189	1418
AP_000157	P78310	1372	1418
BAA00518	P05106	354	1418
BAA00518	P18564	701	1418
BAA00518	P06756	1043	1418
C4P6Q7	Q6UXB4	118	1418
C4P6Q7	Q9H2X3	548	1418
C4P6Q7	Q9BYF1	785	1418
C4P6Q7	Q9NNX6	978	1418
CAA47944	P08174	187	1418
CAA47944	P78310	1342	1418
CAE12177	P08174	148	1418
F5HB81	P05106	359	1418
F5HB81	P52798	417	1418
F5HB81	P06756	1046	1418
K4PMJ5	Q08174	1027	1418
K9N5Q8	P27487	87	1418
L0N5F9	Q92692	152	1418
L0N5F9	P26012	240	1418
L0N5F9	Q15223	393	1418
L0N5F9	P18564	618	1418
L0N5F9	Q92956	767	1418
L0N5F9	Q9NNX6	831	1418
L0N5F9	P06756	1027	1418
NP_040154	P14735	1322	1418
NP_040533	P18084	34	1418
NP_040533	P06756	1303	1418
NP_040533	P78310	1393	1418
NP_040876	P78310	1369	1418
NP_040958	P55899	1109	1418
NP_041009	P05362	520	1418
NP_041277	P15151	1014	1418
NP_041332	P48509	507	1418
NP_041332	P23229	834	1418
NP_043941	P08865	25	1418
NP_056788	P26006	261	1418
NP_056844	P61073	117	1418
NP_056844	P01730	674	1418
NP_056844	Q9NNX6	1018	1418
NP_057856	P51681	228	1418
NP_057856	P61073	356	1418
NP_057856	P01730	695	1418
NP_057856	Q9NNX6	988	1418
NP_057856	Q9H2X3	1108	1418
O89343	P52799	282	1418
O89343	Q15768	547	1418
O91734	P05556	32	1418
O91734	P17301	1387	1418
P03089	P28223	990	1418
P03135	P08648	629	1418
P03135	P05556	876	1418
P03135	P08865	1140	1418
P03135	Q8IZA0	1352	1418
P03188	O43921	248	1418
P03188	P01911	799	1418
P03188	P17927	845	1418
P03188	P05556	866	1418
P03188	P20023	1278	1418
P03313	P08174	105	1418
P03313	P78310	1394	1418
P03522	P01130	69	1418
P03522	Q9P2Y5	281	1418
P03524	Q14416	96	1418
P03524	P08138	153	1418
P03524	P13591	873	1418
P03528	P05556	381	1418
P03528	Q9BZR6	461	1418
P03528	Q9Y624	550	1418
P04936	P01130	1223	1418
P07575	Q15758	15	1418
P08291	P08174	104	1418
P08291	P06756	434	1418
P08291	P78310	1284	1418
P08291	P18564	1403	1418
P08617	Q96D42	685	1418
P08668	P05106	1133	1418
