Human_Protein_ID	Virus_Protein_ID	Score	Interaction
P30101	B9UPF3	0.215	yes
P0CG48	P10211	0.038	no
Q96DU3	D3JIT8	0.077	no
P42224	Q76RC6	0.207	no
Q16666	P10234	0.173	no
O75190	Q805P6	0.109	no
Q5T7W7	P06930	0.080	no
P51610	P30020	0.208	no
P14314	Q05320	0.066	no
Q9UHV2	A0A0C7TUY8	0.077	no
Q9Y3T6	P14357	0.081	no
Q13651	P03180	0.062	no
Q53GL7	A4D8X6	0.077	no
P02786	R9UQM6	0.103	no
Q9NSC5	Q3KSS3	0.184	no
P01375	P0DSV7	0.058	no
Q16666	P10185	0.177	no
Q00403	P87662	0.136	no
P04637	Q1NZ49	0.068	no
Q12959	P30911	0.345	yes
P02511	P17371	0.029	no
P56962	P88990	0.107	no
Q9BRH9	P03493	0.041	no
P06241	Q9WNA9	0.166	no
Q93009	P03211	0.264	yes
Q14103	P03454	0.154	no
Q16666	G8HBD9	0.195	no
P15529	P68323	0.049	no
P21333	Q9QAI4	0.247	yes
Q9UKT9	P10201	0.063	no
Q9HD26	A4URT5	0.149	no
Q99471	Q9DUN1	0.047	no
Q8WYJ6	P03496	0.145	no
Q86T75	P88992	0.051	no
P56199	P04512	0.114	no
Q8N2S1	P03225	0.124	no
Q9UQF2	P20505	0.075	no
Q9UKJ1	A1Z0P7	0.057	no
P12004	P36801	0.070	no
P09651	P19893	0.095	no
Q16666	F8RFA1	0.184	no
P46109	Q99AU3	0.185	no
Q92997	Q20MD4	0.142	no
O15162	P10227	0.071	no
P27348	P10230	0.099	no
Q13616	Q6TVW2	0.189	no
P63165	P06459	0.077	no
P61769	P59596	0.058	no
O14641	P03495	0.121	no
P27986	Q20MH3	0.219	yes
O00165	Q9QR69	0.056	no
Q9H2H8	Q99152	0.105	no
Q10589	A9QPL9	0.061	no
Q9UI95	P24935	0.067	no
P84022	P06428	0.142	no
P40429	A4ZNQ3	0.176	no
P27694	P88981	0.263	yes
Q13753	P11158	0.045	no
P46934	Q77DJ6	0.189	no
Q99750	Q3KSS4	0.093	no
P61769	P59637	0.066	no
P01903	P03437	0.053	no
P78556	O57300	0.059	no
P0C0L5	P0DTC5	0.130	no
Q99689	P03086	0.081	no
P09661	Q194T2	0.187	no
Q8N9W6	P10210	0.061	no
Q8N3R9	P0DTC4	0.102	no
Q13651	P0C6Z6	0.073	no
O75843	P03139	0.134	no
Q9Y2D8	Q20MD0	0.116	no
Q14258	B4URA9	0.134	no
Q16666	A0A5J6DW60	0.194	no
P00747	P15240	0.038	no
Q9Y5P4	P03452	0.144	no
O95786	P04543	0.154	no
Q9H1Y0	Q30NB4	0.087	no
Q3ZCQ8	B4URE7	0.153	no
Q9Y4K3	Q6SWB7	0.122	no
Q93009	F5H9G3	0.102	no
O15111	P04862	0.156	no
Q9UI95	Q779E8	0.061	no
Q13888	P21698	0.048	no
Q9UIV1	P88937	0.097	no
Q16666	P04291	0.211	no
P18621	A0A5J6DVX6	0.135	no
P60953	Q1K9G9	0.159	no
Q15477	C8XNX3	0.072	no
Q9UHD2	P08353	0.199	no
P27694	A0A0B6VKU0	0.333	yes
Q9Y5J9	Q05128	0.124	no
Q9H6X4	Q81871	0.028	no
Q92973	Q1HVF7	0.307	yes
Q92793	F5HIC6	0.175	no
Q9UKJ1	P06436	0.057	no
P21912	Q98131	0.161	no
Q9HD26	Q6VE52	0.195	no
Q15477	K9N4V0	0.038	no
P04637	Q9QJ49	0.043	no
Q13751	Q3ZK64	0.113	no
Q08174	Q9ICL0	0.093	no
Q13546	F5HAR0	0.045	no
P0C0L5	P88986	0.214	yes
P04083	P04305	0.068	no
P62136	P36313	0.072	no
O14646	B2BUF1	0.147	no
Q9Y5K6	Q6SWW3	0.144	no
P63244	Q9Q2P1	0.099	no
P11142	B4UPA8	0.221	yes
P13500	O41925	0.095	no
Q9UQ52	P0DKB0	0.115	no
Q8WUM4	O55527	0.187	no
Q14624	Q76R62	0.081	no
Q15397	P88940	0.140	no
P46108	Q2PJP0	0.173	no
P35968	P52584	0.124	no
P06400	Q6SW29	0.125	no
P18848	P06929	0.103	no
Q9HD26	Q9IBY5	0.141	no
P61221	Q9WH76	0.181	no
Q9UBX5	P0CK47	0.089	no
O00410	Q9YKI3	0.239	yes
Q12959	Q9ICL1	0.263	yes
Q14318	O39474	0.099	no
Q08431	P06461	0.075	no
P20591	Q8JPR0	0.148	no
Q6UXV4	P88988	0.095	no
Q96RT1	A3EXD4	0.349	yes
Q06124	P88959	0.141	no
Q16666	F8RE30	0.176	no
Q86VP6	Q6TVJ1	0.286	yes
Q05086	P23372	0.117	no
P78352	Q0A2H0	0.285	yes
O00566	R9UMC1	0.146	no
P51784	Q9DLK6	0.079	no
Q99759	Q6DP93	0.083	no
O15118	X5HMX4	0.166	no
P42224	A4GDF4	0.213	yes
Q9UL40	I6TAG8	0.143	no
P15311	P03485	0.163	no
P28799	Q69114	0.053	no
P62258	A0A7S4U3Y4	0.123	no
Q9Y5M8	B9UPF3	0.103	no
P0CG48	P10211	0.038	no
Q96DU3	D3JIT8	0.077	no
P42224	Q76RC6	0.207	no
P04792	Q805P6	0.082	no
Q16666	P10234	0.173	no
P25685	P06930	0.173	no
P51610	P30020	0.208	no
P25815	Q05320	0.055	no
Q9Y6C9	A0A0C7TUY8	0.063	no
O75398	P14357	0.123	no
Q13651	P03180	0.062	no
Q53GL7	A4D8X6	0.077	no
P46379	R9UQM6	0.181	no
Q9NSC5	Q3KSS3	0.184	no
P49069	P0DSV7	0.057	no
Q16666	P10185	0.177	no
P20226	P87662	0.096	no
Q12959	P30911	0.345	yes
P04792	P17371	0.043	no
P04637	Q1NZ49	0.068	no
P56962	P88990	0.107	no
Q15906	P03493	0.076	no
O95153	Q9WNA9	0.230	yes
O95271	P03211	0.210	no
P08195	P03454	0.116	no
Q16666	G8HBD9	0.195	no
P15529	P68323	0.049	no
Q9H4A3	Q9QAI4	0.303	yes
Q8IZ63	P10201	0.090	no
Q9HD26	A4URT5	0.149	no
Q93009	Q9DUN1	0.107	no
Q96SI9	P03496	0.350	yes
Q5VU43	P88992	0.367	yes
P56199	P04512	0.114	no
Q9C0F1	P03225	0.100	no
O14733	P20505	0.073	no
Q9UKJ1	A1Z0P7	0.057	no
O43709	P36801	0.095	no
P61956	P19893	0.080	no
Q16666	F8RFA1	0.184	no
P46109	Q99AU3	0.185	no
Q92997	Q20MD4	0.142	no
Q9NRY6	P10227	0.065	no
Q04917	P10230	0.098	no
P62877	Q6TVW2	0.081	no
P07305	P06459	0.135	no
P61769	P59596	0.058	no
Q07812	P03495	0.102	no
Q96SI9	Q20MH3	0.317	yes
O00165	Q9QR69	0.056	no
Q92621	Q99152	0.285	yes
Q10589	A9QPL9	0.061	no
Q9UI95	P24935	0.067	no
Q13630	P06428	0.142	no
Q92966	A4ZNQ3	0.109	no
P78344	P11158	0.178	no
P27694	P88981	0.263	yes
Q99750	Q3KSS4	0.093	no
P46934	Q77DJ6	0.189	no
P68363	P59637	0.110	no
P01903	P03437	0.053	no
P78556	O57300	0.059	no
O95832	P0DTC5	0.057	no
P05455	Q194T2	0.179	no
Q99689	P03086	0.081	no
Q8N9W6	P10210	0.061	no
P20700	P0DTC4	0.124	no
Q13651	P0C6Z6	0.073	no
O75843	P03139	0.134	no
O00505	Q20MD0	0.247	yes
Q14258	B4URA9	0.134	no
Q16666	A0A5J6DW60	0.194	no
P00747	P15240	0.038	no
Q01813	P03452	0.146	no
O95786	P04543	0.154	no
Q9H1Y0	Q30NB4	0.087	no
Q9H0W5	B4URE7	0.138	no
Q9Y4K3	Q6SWB7	0.122	no
Q93009	F5H9G3	0.102	no
O15111	P04862	0.156	no
Q9UI95	Q779E8	0.061	no
Q13888	P21698	0.048	no
Q9ULM6	P88937	0.125	no
Q16666	P04291	0.211	no
P63267	A0A5J6DVX6	0.105	no
Q9NZT1	Q1K9G9	0.171	no
Q15477	C8XNX3	0.072	no
Q9UHD2	P08353	0.199	no
Q9UBQ7	A0A0B6VKU0	0.131	no
Q9Y5L4	Q05128	0.083	no
Q9H6X4	Q81871	0.028	no
Q00987	Q1HVF7	0.158	no
Q9UKJ1	P06436	0.057	no
Q14653	F5HIC6	0.065	no
P21912	Q98131	0.161	no
Q15477	K9N4V0	0.038	no
Q9HD26	Q6VE52	0.195	no
P04637	Q9QJ49	0.043	no
Q13751	Q3ZK64	0.113	no
Q08174	Q9ICL0	0.093	no
Q13546	F5HAR0	0.045	no
Q86V48	P88986	0.205	no
P07355	P04305	0.090	no
P62136	P36313	0.072	no
O14646	B2BUF1	0.147	no
O14818	Q6SWW3	0.125	no
P63244	Q9Q2P1	0.099	no
P15311	B4UPA8	0.164	no
P13500	O41925	0.095	no
Q9UQ52	P0DKB0	0.115	no
Q8WUM4	O55527	0.187	no
Q93088	Q76R62	0.092	no
P56537	P88940	0.133	no
Q8NC69	Q2PJP0	0.109	no
P35968	P52584	0.124	no
P06400	Q6SW29	0.125	no
P61803	P06929	0.083	no
Q9HD26	Q9IBY5	0.141	no
O15162	P0CK47	0.113	no
P61221	Q9WH76	0.181	no
O00410	Q9YKI3	0.239	yes
Q12959	Q9ICL1	0.263	yes
Q05BQ5	P23372	0.130	no
P05455	O39474	0.115	no
Q08431	P06461	0.075	no
Q6UXV4	P88988	0.095	no
Q96RT1	A3EXD4	0.349	yes
Q9HA64	P88959	0.130	no
Q16666	F8RE30	0.176	no
Q86VP6	Q6TVJ1	0.286	yes
P20591	Q8JPR0	0.148	no
P78352	Q0A2H0	0.285	yes
Q5VV52	R9UMC1	0.032	no
O94986	Q9DLK6	0.091	no
Q99759	Q6DP93	0.083	no
O15118	X5HMX4	0.166	no
P42224	A4GDF4	0.213	yes
O75525	I6TAG8	0.221	yes
Q12800	P03485	0.149	no
P28799	Q69114	0.053	no
P61981	A0A7S4U3Y4	0.111	no
Q9Y5M8	B9UPF3	0.103	no
P0CG48	P10211	0.038	no
Q96DU3	D3JIT8	0.077	no
P42224	Q76RC6	0.207	no
P04792	Q805P6	0.082	no
Q16666	P10234	0.173	no
P25685	P06930	0.173	no
P51610	P30020	0.208	no
P25815	Q05320	0.055	no
Q9Y6C9	A0A0C7TUY8	0.063	no
O75398	P14357	0.123	no
Q13651	P03180	0.062	no
Q53GL7	A4D8X6	0.077	no
P46379	R9UQM6	0.181	no
Q9NSC5	Q3KSS3	0.184	no
P49069	P0DSV7	0.057	no
Q16666	P10185	0.177	no
P20226	P87662	0.096	no
Q12959	P30911	0.345	yes
P04792	P17371	0.043	no
P04637	Q1NZ49	0.068	no
P56962	P88990	0.107	no
Q15906	P03493	0.076	no
O95153	Q9WNA9	0.230	yes
O95271	P03211	0.210	no
P08195	P03454	0.116	no
Q16666	G8HBD9	0.195	no
P15529	P68323	0.049	no
Q9H4A3	Q9QAI4	0.303	yes
Q8IZ63	P10201	0.090	no
Q9HD26	A4URT5	0.149	no
Q93009	Q9DUN1	0.107	no
Q96SI9	P03496	0.350	yes
Q5VU43	P88992	0.367	yes
P56199	P04512	0.114	no
Q9C0F1	P03225	0.100	no
O14733	P20505	0.073	no
Q9UKJ1	A1Z0P7	0.057	no
O43709	P36801	0.095	no
P61956	P19893	0.080	no
Q16666	F8RFA1	0.184	no
P46109	Q99AU3	0.185	no
Q92997	Q20MD4	0.142	no
Q9NRY6	P10227	0.065	no
Q04917	P10230	0.098	no
P62877	Q6TVW2	0.081	no
P07305	P06459	0.135	no
P61769	P59596	0.058	no
Q07812	P03495	0.102	no
Q96SI9	Q20MH3	0.317	yes
O00165	Q9QR69	0.056	no
Q92621	Q99152	0.285	yes
Q10589	A9QPL9	0.061	no
Q9UI95	P24935	0.067	no
Q13630	P06428	0.142	no
Q92966	A4ZNQ3	0.109	no
P78344	P11158	0.178	no
P27694	P88981	0.263	yes
Q99750	Q3KSS4	0.093	no
P46934	Q77DJ6	0.189	no
P68363	P59637	0.110	no
P01903	P03437	0.053	no
P78556	O57300	0.059	no
O95832	P0DTC5	0.057	no
P05455	Q194T2	0.179	no
Q99689	P03086	0.081	no
Q8N9W6	P10210	0.061	no
P20700	P0DTC4	0.124	no
Q13651	P0C6Z6	0.073	no
O75843	P03139	0.134	no
O00505	Q20MD0	0.247	yes
Q14258	B4URA9	0.134	no
Q16666	A0A5J6DW60	0.194	no
P00747	P15240	0.038	no
Q01813	P03452	0.146	no
O95786	P04543	0.154	no
Q9H1Y0	Q30NB4	0.087	no
Q9H0W5	B4URE7	0.138	no
Q9Y4K3	Q6SWB7	0.122	no
Q93009	F5H9G3	0.102	no
O15111	P04862	0.156	no
Q9UI95	Q779E8	0.061	no
Q13888	P21698	0.048	no
Q9ULM6	P88937	0.125	no
Q16666	P04291	0.211	no
P63267	A0A5J6DVX6	0.105	no
Q9NZT1	Q1K9G9	0.171	no
Q15477	C8XNX3	0.072	no
Q9UHD2	P08353	0.199	no
Q9UBQ7	A0A0B6VKU0	0.131	no
Q9Y5L4	Q05128	0.083	no
Q9H6X4	Q81871	0.028	no
Q00987	Q1HVF7	0.158	no
Q9UKJ1	P06436	0.057	no
Q14653	F5HIC6	0.065	no
P21912	Q98131	0.161	no
Q15477	K9N4V0	0.038	no
Q9HD26	Q6VE52	0.195	no
P04637	Q9QJ49	0.043	no
Q13751	Q3ZK64	0.113	no
Q08174	Q9ICL0	0.093	no
Q13546	F5HAR0	0.045	no
Q86V48	P88986	0.205	no
P07355	P04305	0.090	no
P62136	P36313	0.072	no
O14646	B2BUF1	0.147	no
O14818	Q6SWW3	0.125	no
P63244	Q9Q2P1	0.099	no
P15311	B4UPA8	0.164	no
P13500	O41925	0.095	no
Q9UQ52	P0DKB0	0.115	no
Q8WUM4	O55527	0.187	no
Q93088	Q76R62	0.092	no
P56537	P88940	0.133	no
Q8NC69	Q2PJP0	0.109	no
P35968	P52584	0.124	no
