virus_unid	human_unid	rank	allnum
A0A024B7W1	Q06418	809	1418
A0A024B7W1	P30530	936	1418
A0A024B7W1	Q9NNX6	1400	1418
A0A068EWX3	Q9UBH6	262	1418
A0A0A7E6E7	P49238	79	1418
A0A0A7E6E7	Q9H2X3	1358	1418
A0A0A7E6E7	Q9NNX6	1398	1418
A0A0G2QX14	Q14973	358	1418
A0A0G2QX14	P78333	1043	1418
A0A1W6J8G8	P15529	856	1418
AAA50478	Q14108	389	1418
AAB39968	Q14108	388	1418
AAB39968	Q14242	444	1418
AAC96087	Q8WUM9	483	1418
AAD17729	P05556	825	1418
AAD17729	P17301	960	1418
AAO61196	Q08357	491	1418
AAQ73076	P08174	365	1418
AAQ73083	P08174	362	1418
AAQ73084	P08174	362	1418
AAQ73089	P08174	365	1418
AAQ73093	P08174	365	1418
AAQ73096	P08174	363	1418
AEF12608	Q9HAB3	263	1418
AEF12608	Q9NWF4	323	1418
AEI59724	Q9UBH6	264	1418
AP_000135	P78310	156	1418
AP_000157	P78310	156	1418
AP_000157	P15529	852	1418
BAA00518	P06756	719	1418
BAA00518	P18564	1222	1418
BAA00518	P05106	1412	1418
C4P6Q7	Q6UXB4	902	1418
C4P6Q7	Q9BYF1	910	1418
C4P6Q7	Q9H2X3	1340	1418
C4P6Q7	Q9NNX6	1396	1418
CAA47944	P78310	156	1418
CAA47944	P08174	365	1418
CAE12177	P08174	365	1418
F5HB81	P52798	475	1418
F5HB81	P06756	719	1418
F5HB81	P05106	1412	1418
K4PMJ5	Q08174	893	1418
K9N5Q8	P27487	977	1418
L0N5F9	Q15223	630	1418
L0N5F9	P06756	714	1418
L0N5F9	Q92956	780	1418
L0N5F9	P26012	782	1418
L0N5F9	Q92692	868	1418
L0N5F9	P18564	1222	1418
L0N5F9	Q9NNX6	1400	1418
NP_040154	P14735	1342	1418
NP_040533	P78310	156	1418
NP_040533	P06756	718	1418
NP_040533	P18084	1324	1418
NP_040876	P78310	156	1418
NP_040958	P55899	1072	1418
NP_041009	P05362	1323	1418
NP_041277	P15151	16	1418
NP_041332	P48509	584	1418
NP_041332	P23229	866	1418
NP_043941	P08865	1379	1418
NP_056788	P26006	1228	1418
NP_056844	P01730	207	1418
NP_056844	P61073	283	1418
