virus_unid	human_unid	group	label	human_cluster
B9UPF3	P30101	gp_1	1.0	P30101
P10211	P0CG48	gp_1	1.0	P0CG48
D3JIT8	Q96DU3	gp_1	1.0	Q96DU3
Q76RC6	P42224	gp_1	1.0	Q14765
P10234	Q16666	gp_1	1.0	Q16666
Q805P6	O75190	gp_1	1.0	Q7Z6W7
P06930	Q5T7W7	gp_1	1.0	Q5T7W7
P30020	P51610	gp_1	1.0	P51610
Q05320	P14314	gp_1	1.0	P14314
A0A0C7TUY8	Q9UHV2	gp_1	1.0	Q9UHV2
P14357	Q9Y3T6	gp_1	1.0	Q9Y3T6
P03180	Q13651	gp_1	1.0	Q13651
A4D8X6	Q53GL7	gp_1	1.0	Q53GL7
R9UQM6	P02786	gp_1	1.0	P02786
Q3KSS3	Q9NSC5	gp_1	1.0	Q86YM7
P0DSV7	P01375	gp_1	1.0	P01375
P10185	Q16666	gp_1	1.0	Q16666
P87662	Q00403	gp_1	1.0	Q00403
Q1NZ49	P04637	gp_1	1.0	P04637
P30911	Q12959	gp_1	1.0	P78352
P17371	P02511	gp_1	1.0	P02511
P88990	P56962	gp_1	1.0	P56962
P03493	Q9BRH9	gp_1	1.0	Q96SE7
Q9WNA9	P06241	gp_1	1.0	Q9H3Y6
P03211	Q93009	gp_1	1.0	Q93009
P03454	Q14103	gp_1	1.0	Q99729
G8HBD9	Q16666	gp_1	1.0	Q16666
P68323	P15529	gp_1	1.0	P15529
Q9QAI4	P21333	gp_1	1.0	O75369
P10201	Q9UKT9	gp_1	1.0	Q9UKS7
A4URT5	Q9HD26	gp_1	1.0	Q9HD26
Q9DUN1	Q99471	gp_1	1.0	Q99471
P03496	Q8WYJ6	gp_1	1.0	Q9UH03
P88992	Q86T75	gp_1	1.0	Q86T75
P04512	P56199	gp_1	1.0	P56199
P03225	Q8N2S1	gp_1	1.0	Q8N2S1
P20505	Q9UQF2	gp_1	1.0	Q9UQF2
A1Z0P7	Q9UKJ1	gp_1	1.0	Q9UKJ1
P36801	P12004	gp_1	1.0	P12004
P19893	P09651	gp_1	1.0	Q13151
F8RFA1	Q16666	gp_1	1.0	Q16666
Q99AU3	P46109	gp_1	1.0	P46109
Q20MD4	Q92997	gp_1	1.0	O14641
P10227	O15162	gp_1	1.0	O15162
P10230	P27348	gp_1	1.0	P63104
Q6TVW2	Q13616	gp_1	1.0	Q13616
P06459	P63165	gp_1	1.0	P63165
P59596	P61769	gp_1	1.0	P61769
P03495	O14641	gp_1	1.0	O14641
Q20MH3	P27986	gp_1	1.0	P27986
Q9QR69	O00165	gp_1	1.0	O00165
Q99152	Q9H2H8	gp_1	1.0	Q9H2H8
A9QPL9	Q10589	gp_1	1.0	Q10589
P24935	Q9UI95	gp_1	1.0	Q9UI95
P06428	P84022	gp_1	1.0	P84022
A4ZNQ3	P40429	gp_1	1.0	P40429
P88981	P27694	gp_1	1.0	P27694
P11158	Q13753	gp_1	1.0	Q13753
Q77DJ6	P46934	gp_1	1.0	P46934
Q3KSS4	Q99750	gp_1	1.0	Q99750
P59637	P61769	gp_1	1.0	P61769
P03437	P01903	gp_1	1.0	P06340
O57300	P78556	gp_1	1.0	P78556
P0DTC5	P0C0L5	gp_1	1.0	P0C0L5
P03086	Q99689	gp_1	1.0	Q99689
Q194T2	P09661	gp_1	1.0	P09661
P10210	Q8N9W6	gp_1	1.0	Q8N9W6
P0DTC4	Q8N3R9	gp_1	1.0	Q8N3R9
P0C6Z6	Q13651	gp_1	1.0	Q13651
P03139	O75843	gp_1	1.0	O75843
Q20MD0	Q9Y2D8	gp_1	1.0	Q9Y2D8
B4URA9	Q14258	gp_1	1.0	Q14258
A0A5J6DW60	Q16666	gp_1	1.0	Q16666
P15240	P00747	gp_1	1.0	P00747
P03452	Q9Y5P4	gp_1	1.0	Q9Y5P4
P04543	O95786	gp_1	1.0	O95786
Q30NB4	Q9H1Y0	gp_1	1.0	Q9H1Y0
B4URE7	Q3ZCQ8	gp_1	1.0	Q3ZCQ8
Q6SWB7	Q9Y4K3	gp_1	1.0	Q9Y4K3
F5H9G3	Q93009	gp_1	1.0	Q93009
P04862	O15111	gp_1	1.0	O15111
Q779E8	Q9UI95	gp_1	1.0	Q9UI95
P21698	Q13888	gp_1	1.0	Q6P1K8
P88937	Q9UIV1	gp_1	1.0	Q9UIV1
P04291	Q16666	gp_1	1.0	Q16666
A0A5J6DVX6	P18621	gp_1	1.0	P18621
Q1K9G9	P60953	gp_1	1.0	P15153
C8XNX3	Q15477	gp_1	1.0	Q15477
P08353	Q9UHD2	gp_1	1.0	Q14164
A0A0B6VKU0	P27694	gp_1	1.0	P27694
Q05128	Q9Y5J9	gp_1	1.0	Q9Y5J9
Q81871	Q9H6X4	gp_1	1.0	Q9H6X4
Q1HVF7	Q92973	gp_1	1.0	O14787
F5HIC6	Q92793	gp_1	1.0	Q92793
P06436	Q9UKJ1	gp_1	1.0	Q9UKJ1
Q98131	P21912	gp_1	1.0	P21912
Q6VE52	Q9HD26	gp_1	1.0	Q9HD26
K9N4V0	Q15477	gp_1	1.0	Q15477
Q9QJ49	P04637	gp_1	1.0	P04637
Q3ZK64	Q13751	gp_1	1.0	Q13751
Q9ICL0	Q08174	gp_1	1.0	O60245
