virus_unid	human_unid	rank	allnum
A0A024B7W1	P30530	143	1418
A0A024B7W1	Q06418	529	1418
A0A024B7W1	Q9NNX6	802	1418
A0A068EWX3	Q9UBH6	306	1418
A0A0A7E6E7	Q9NNX6	828	1418
A0A0A7E6E7	P49238	963	1418
A0A0A7E6E7	Q9H2X3	1186	1418
A0A0G2QX14	Q14973	426	1418
A0A0G2QX14	P78333	679	1418
A0A1W6J8G8	P15529	943	1418
AAA50478	Q14108	455	1418
AAB39968	Q14108	518	1418
AAB39968	Q14242	1088	1418
AAC96087	Q8WUM9	1147	1418
AAD17729	P05556	35	1418
AAD17729	P17301	456	1418
AAO61196	Q08357	495	1418
AAQ73076	P08174	752	1418
AAQ73083	P08174	543	1418
AAQ73084	P08174	432	1418
AAQ73089	P08174	692	1418
AAQ73093	P08174	696	1418
AAQ73096	P08174	783	1418
AEF12608	Q9HAB3	948	1418
AEF12608	Q9NWF4	964	1418
AEI59724	Q9UBH6	308	1418
AP_000135	P78310	1	1418
AP_000157	P78310	204	1418
AP_000157	P15529	1306	1418
BAA00518	P06756	71	1418
BAA00518	P05106	97	1418
BAA00518	P18564	798	1418
C4P6Q7	Q9NNX6	308	1418
C4P6Q7	Q9BYF1	367	1418
C4P6Q7	Q6UXB4	653	1418
C4P6Q7	Q9H2X3	1178	1418
CAA47944	P78310	475	1418
CAA47944	P08174	675	1418
CAE12177	P08174	763	1418
F5HB81	P05106	73	1418
F5HB81	P06756	125	1418
F5HB81	P52798	487	1418
K4PMJ5	Q08174	768	1418
K9N5Q8	P27487	216	1418
L0N5F9	P06756	76	1418
L0N5F9	Q92956	232	1418
L0N5F9	Q15223	308	1418
L0N5F9	P26012	404	1418
L0N5F9	Q9NNX6	461	1418
L0N5F9	Q92692	523	1418
L0N5F9	P18564	909	1418
NP_040154	P14735	84	1418
NP_040533	P06756	48	1418
NP_040533	P78310	55	1418
NP_040533	P18084	989	1418
NP_040876	P78310	53	1418
NP_040958	P55899	390	1418
NP_041009	P05362	415	1418
NP_041277	P15151	262	1418
NP_041332	P23229	88	1418
NP_041332	P48509	602	1418
NP_043941	P08865	7	1418
NP_056788	P26006	323	1418
NP_056844	P61073	126	1418
NP_056844	P01730	192	1418
NP_056844	Q9NNX6	917	1418
NP_057856	P61073	114	1418
NP_057856	P01730	340	1418
NP_057856	P51681	475	1418
NP_057856	Q9NNX6	709	1418
NP_057856	Q9H2X3	1200	1418
O89343	P52799	73	1418
O89343	Q15768	958	1418
O91734	P05556	40	1418
O91734	P17301	489	1418
P03089	P28223	689	1418
P03135	P08865	10	1418
P03135	P05556	27	1418
P03135	P08648	308	1418
P03135	Q8IZA0	362	1418
P03188	P05556	34	1418
P03188	P01911	224	1418
P03188	O43921	661	1418
P03188	P20023	944	1418
P03188	P17927	1197	1418
P03313	P08174	523	1418
P03313	P78310	601	1418
P03522	P01130	243	1418
P03522	Q9P2Y5	833	1418
P03524	P08138	245	1418
P03524	P13591	313	1418
P03524	Q14416	830	1418
P03528	P05556	59	1418
P03528	Q9Y624	363	1418
P03528	Q9BZR6	714	1418
P04936	P01130	52	1418
P07575	Q15758	268	1418
P08291	P06756	64	1418
P08291	P08174	514	1418
P08291	P78310	535	1418
