virus_unid	human_unid	rank	allnum
A0A024B7W1	P30530	108	1408
A0A024B7W1	Q06418	298	1408
A0A024B7W1	Q9NNX6	602	1408
A0A068EWX3	Q9UBH6	706	1408
A0A0A7E6E7	Q9H2X3	655	1408
A0A0A7E6E7	Q9NNX6	785	1408
A0A0A7E6E7	P49238	1092	1408
A0A0G2QX14	Q14973	718	1408
A0A0G2QX14	P78333	1034	1408
A0A1W6J8G8	P15529	814	1408
AAA50478	Q14108	382	1408
AAB39968	Q14242	317	1408
AAB39968	Q14108	354	1408
AAC96087	Q8WUM9	113	1408
AAD17729	P05556	12	1408
AAD17729	P17301	93	1408
AAO61196	Q08357	171	1408
AAQ73076	P08174	1304	1408
AAQ73083	P08174	1361	1408
AAQ73084	P08174	1322	1408
AAQ73089	P08174	1404	1408
AAQ73093	P08174	1382	1408
AAQ73096	P08174	1359	1408
AEF12608	Q9NWF4	1211	1408
AEF12608	Q9HAB3	1284	1408
AEI59724	Q9UBH6	705	1408
AP_000135	P78310	0	1408
AP_000157	P78310	143	1408
AP_000157	P15529	838	1408
BAA00518	P05106	72	1408
BAA00518	P06756	126	1408
BAA00518	P18564	287	1408
C4P6Q7	Q9BYF1	91	1408
C4P6Q7	Q9NNX6	669	1408
C4P6Q7	Q9H2X3	765	1408
C4P6Q7	Q6UXB4	1115	1408
CAA47944	P78310	205	1408
CAA47944	P08174	1388	1408
CAE12177	P08174	1380	1408
F5HB81	P05106	0	1408
F5HB81	P06756	165	1408
F5HB81	P52798	962	1408
K4PMJ5	Q08174	241	1408
K9N5Q8	P27487	0	1408
L0N5F9	P06756	63	1408
L0N5F9	P18564	175	1408
L0N5F9	Q15223	244	1408
L0N5F9	Q9NNX6	427	1408
L0N5F9	P26012	537	1408
L0N5F9	Q92956	581	1408
L0N5F9	Q92692	831	1408
NP_040154	P14735	47	1408
NP_040533	P78310	0	1408
NP_040533	P18084	268	1408
NP_040533	P06756	299	1408
NP_040876	P78310	48	1408
NP_040958	P55899	890	1408
NP_041009	P05362	961	1408
NP_041277	P15151	1186	1408
NP_041332	P23229	453	1408
NP_041332	P48509	694	1408
NP_043941	P08865	161	1408
NP_056788	P26006	391	1408
NP_056844	Q9NNX6	847	1408
NP_056844	P01730	860	1408
NP_056844	P61073	1010	1408
NP_057856	P01730	306	1408
NP_057856	P61073	887	1408
NP_057856	Q9H2X3	951	1408
NP_057856	Q9NNX6	983	1408
NP_057856	P51681	1255	1408
O89343	P52799	77	1408
O89343	Q15768	334	1408
O91734	P05556	10	1408
O91734	P17301	103	1408
P03089	P28223	1182	1408
P03135	P05556	16	1408
P03135	P08865	105	1408
P03135	P08648	484	1408
P03135	Q8IZA0	869	1408
P03188	P05556	11	1408
P03188	P17927	367	1408
P03188	P20023	487	1408
P03188	P01911	489	1408
P03188	O43921	661	1408
P03313	P78310	169	1408
P03313	P08174	1259	1408
P03522	Q9P2Y5	239	1408
P03522	P01130	621	1408
P03524	P13591	88	1408
P03524	P08138	873	1408
P03524	Q14416	894	1408
P03528	P05556	13	1408
P03528	Q9Y624	710	1408
P03528	Q9BZR6	1356	1408
P04936	P01130	613	1408
P07575	Q15758	341	1408
P08291	P78310	88	1408
P08291	P06756	113	1408
P08291	P18564	553	1408
P08291	P08174	1356	1408
P08617	Q96D42	869	1408
P08668	P05106	231	1408
P08669	Q14118	6	1408
P08669	P30530	182	1408
P08669	Q06418	603	1408
P08669	P11279	675	1408
P08669	Q96D42	869	1408
P08669	Q9NNX6	912	1408
P08669	Q6UXB4	1089	1408
P09991	Q14118	7	1408
P09991	P30530	101	1408
P09991	Q06418	255	1408
P09991	Q9NNX6	817	1408
P09991	Q6UXB4	941	1408
P0DTC2	Q9BYF1	99	1408
P0DTC2	P30530	136	1408
P0DTC2	O14786	487	1408
P0DTC2	Q8WTV0	829	1408
P10269	Q15758	213	1408
P11261	Q8WUM9	205	1408
P11261	Q08357	288	1408
P12640	Q15223	97	1408
P12640	P15151	1131	1408
P15423	P15144	203	1408
P15423	Q9H2X3	1027	1408
P17763	P08865	91	1408
P17763	Q9NY25	207	1408
P17763	Q06418	232	1408
P17763	P30530	358	1408
P17763	Q9NNX6	368	1408
P17763	O95832	1127	1408
P17763	Q96D42	1147	1408
P19725	Q16653	988	1408
P21415	Q08357	187	1408
P21415	Q8WUM9	333	1408
P22055	P05362	740	1408
P22055	P08174	1366	1408
P24994	Q15223	85	1408
P24994	Q9NNX6	667	1408
P24994	Q92956	830	1408
P24994	Q92692	1130	1408
P27285	P08865	170	1408
P27395	Q9BX97	153	1408
P27395	Q9NNX6	348	1408
P27395	P0CG01	610	1408
P27395	Q9H2X3	720	1408
P27395	Q6UXB4	1198	1408
P27958	P02786	48	1408
P27958	P00533	52	1408
P27958	P60033	104	1408
P27958	Q8WTV0	153	1408
P27958	Q16625	244	1408
P27958	P01130	303	1408
P27958	P29317	430	1408
P27958	Q9NNX6	465	1408
P27958	Q9H2X3	526	1408
P27958	O95832	1140	1408
P28864	P15529	1047	1408
P31791	Q15758	167	1408
P36320	P43489	1308	1408
P36329	P08865	101	1408
P52352	P01730	392	1408
Q02076	Q9Y5Y0	695	1408
Q5XXP3	P35232	79	1408
Q5XXP3	Q9BRK3	590	1408
Q66575	P08174	1334	1408
Q66765	P19320	264	1408
Q6IUF7	P02786	19	1408
Q6JC40	P08865	124	1408
Q6Q1S2	Q9BYF1	0	1408
Q6UY73	P02786	53	1408
Q6WB94	P05556	11	1408
Q6WB94	P08648	190	1408
Q84168	Q14118	9	1408
Q8AYW1	P02786	90	1408
Q8B121	Q14118	14	1408
Q9E006	Q08174	218	1408
Q9IH62	P52799	31	1408
Q9IH62	Q15768	118	1408
Q9PZT0	P05556	7	1408
Q9PZT0	P08648	302	1408
Q9Q6P4	P05106	94	1408
Q9Q6P4	P06756	118	1408
Q9Q6P4	Q9NNX6	544	1408
Q9Q6P4	Q9H2X3	623	1408
Q9QL88	P78310	130	1408
Q9YLG5	P78310	236	1408
QJA10589	P08174	1402	1408
QNN25832	Q96MU8	815	1408
QWM97554	P08174	1384	1408
QZA87423	P78310	85	1408
YP_001552435	Q6ZTQ4	689	1408
YP_002213828	P15529	844	1408
YP_002213828	P42081	1063	1408
YP_002213828	P33681	1088	1408
YP_009505605	Q9UMF0	1060	1408
YP_009505605	P08174	1380	1408
YP_009505617	P05106	205	1408
YP_009505617	P06756	275	1408
YP_068048	P78310	44	1408
YP_068330	Q15223	81	1408
YP_068330	Q92692	763	1408
YP_068330	P15151	1307	1408
YP_077180	P08865	151	1408
YP_081514	P05556	14	1408
YP_081514	P00533	76	1408
YP_081514	P06756	162	1408
YP_081514	P05106	175	1408
