virus_unid	human_unid	pred_score	pred_label
B9UPF3	P30101	0.04829568415880203	0
P10211	P0CG48	0.19165509939193726	1
D3JIT8	Q96DU3	0.05462731048464775	0
Q76RC6	P42224	0.1051676943898201	0
P10234	Q16666	0.10724575817584991	1
Q805P6	O75190	0.0782548040151596	0
P06930	Q5T7W7	0.10994800925254822	1
P30020	P51610	0.07481496781110764	0
Q05320	P14314	0.07923149317502975	0
A0A0C7TUY8	Q9UHV2	0.038453616201877594	0
P14357	Q9Y3T6	0.05373946204781532	0
P03180	Q13651	0.1845524162054062	1
A4D8X6	Q53GL7	0.04708341881632805	0
R9UQM6	P02786	0.07824590057134628	0
Q3KSS3	Q9NSC5	0.06663785874843597	0
P0DSV7	P01375	0.049767449498176575	0
P10185	Q16666	0.10987935215234756	1
P87662	Q00403	0.13497118651866913	1
Q1NZ49	P04637	0.024623965844511986	0
P30911	Q12959	0.23657812178134918	1
P17371	P02511	0.04946703463792801	0
P88990	P56962	0.09694744646549225	0
P03493	Q9BRH9	0.11276241391897202	1
Q9WNA9	P06241	0.16842110455036163	1
P03211	Q93009	0.2417883276939392	1
P03454	Q14103	0.12330301851034164	1
G8HBD9	Q16666	0.07767219096422195	0
P68323	P15529	0.15677988529205322	1
Q9QAI4	P21333	0.10578381270170212	0
P10201	Q9UKT9	0.014412236399948597	0
A4URT5	Q9HD26	0.07494281977415085	0
Q9DUN1	Q99471	0.057012125849723816	0
P03496	Q8WYJ6	0.04832307621836662	0
P88992	Q86T75	0.10117173939943314	0
P04512	P56199	0.02971385419368744	0
P03225	Q8N2S1	0.19796490669250488	1
P20505	Q9UQF2	0.11174023151397705	1
A1Z0P7	Q9UKJ1	0.025448856875300407	0
P36801	P12004	0.14437313377857208	1
P19893	P09651	0.16147994995117188	1
F8RFA1	Q16666	0.08801382035017014	0
Q99AU3	P46109	0.02948399819433689	0
Q20MD4	Q92997	0.04119443520903587	0
P10227	O15162	0.08297787606716156	0
P10230	P27348	0.06760374456644058	0
Q6TVW2	Q13616	0.17427097260951996	1
P06459	P63165	0.33798137307167053	1
P59596	P61769	0.15033353865146637	1
P03495	O14641	0.09065097570419312	0
Q20MH3	P27986	0.08850014209747314	0
Q9QR69	O00165	0.22241228818893433	1
Q99152	Q9H2H8	0.039742399007081985	0
A9QPL9	Q10589	0.010515890084207058	0
P24935	Q9UI95	0.1099722683429718	1
P06428	P84022	0.05072908103466034	0
A4ZNQ3	P40429	0.051776643842458725	0
P88981	P27694	0.11951121687889099	1
P11158	Q13753	0.04692786931991577	0
Q77DJ6	P46934	0.10478173941373825	0
Q3KSS4	Q99750	0.048913806676864624	0
P59637	P61769	0.08495377749204636	0
P03437	P01903	0.10083267837762833	0
O57300	P78556	0.034967415034770966	0
P0DTC5	P0C0L5	0.015560957603156567	0
P03086	Q99689	0.05522774159908295	0
Q194T2	P09661	0.06008153408765793	0
P10210	Q8N9W6	0.06273093819618225	0
P0DTC4	Q8N3R9	0.02812703512609005	0
P0C6Z6	Q13651	0.21571780741214752	1
P03139	O75843	0.1996290683746338	1
Q20MD0	Q9Y2D8	0.15263508260250092	1
B4URA9	Q14258	0.09546469151973724	0
A0A5J6DW60	Q16666	0.11903790384531021	1
P15240	P00747	0.073433056473732	0
P03452	Q9Y5P4	0.05573483929038048	0
P04543	O95786	0.09724010527133942	0
Q30NB4	Q9H1Y0	0.029704218730330467	0
B4URE7	Q3ZCQ8	0.03129730746150017	0
Q6SWB7	Q9Y4K3	0.09030970931053162	0
F5H9G3	Q93009	0.31033211946487427	1
P04862	O15111	0.06925014406442642	0
Q779E8	Q9UI95	0.08619524538516998	0
P21698	Q13888	0.17119288444519043	1
P88937	Q9UIV1	0.12514722347259521	1
P04291	Q16666	0.13982854783535004	1
A0A5J6DVX6	P18621	0.0513862743973732	0
Q1K9G9	P60953	0.05264751985669136	0
C8XNX3	Q15477	0.05123236030340195	0
