virus_unid	human_unid	vp_np_seqsimi	np_hp_score
B8ZX49	P50281	0.0	0.36834913682000603
B8ZX49	P30153	0.0	0.28801902172931304
B8ZX49	Q9UBF2	0.0	0.2573828138658157
B8ZX49	Q96JJ7	0.0	0.2401617488638036
B8ZX49	Q96N66	0.0	0.2200647614647017
P06429	Q9NP87	0.0	0.26343096999756066
P06429	Q9UJD0	0.0	0.4507951469074517
P06429	O95872	0.0	0.5126269679010391
P06429	P52815	0.0	0.22987517385963085
P06429	Q6PF18	0.0	0.5600013254946344
P06429	Q86V42	0.0	0.4947201025107605
P06429	Q02878	0.0	0.2884434049440033
P06429	Q9BUB7	0.0	0.08610991928973263
Q84291	P08962	0.0	0.3187039205486224
P06429	Q8IZ52	0.0	0.22685902509087139
P06429	Q9Y3A4	0.0	0.23579524260575885
P06429	Q9UJZ1	0.0	0.1421259401894688
P03433	P50222	0.0	0.8074839528989668
P03433	P10643	0.0	0.42148949577151057
P0C0U1	P12236	0.0	0.22709859520744247
