virus_unid	human_unid	rank	allnum
A0A024B7W1	Q06418	1090	1408
A0A024B7W1	P30530	1142	1408
A0A024B7W1	Q9NNX6	1360	1408
A0A068EWX3	Q9UBH6	742	1408
A0A0A7E6E7	Q9H2X3	1199	1408
A0A0A7E6E7	Q9NNX6	1329	1408
A0A0A7E6E7	P49238	1352	1408
A0A0G2QX14	Q14973	208	1408
A0A0G2QX14	P78333	921	1408
A0A1W6J8G8	P15529	266	1408
AAA50478	Q14108	1289	1408
AAB39968	Q14108	1139	1408
AAB39968	Q14242	1177	1408
AAC96087	Q8WUM9	378	1408
AAD17729	P05556	505	1408
AAD17729	P17301	674	1408
AAO61196	Q08357	531	1408
AAQ73076	P08174	792	1408
AAQ73083	P08174	774	1408
AAQ73084	P08174	1136	1408
AAQ73089	P08174	891	1408
AAQ73093	P08174	1081	1408
AAQ73096	P08174	1047	1408
AEF12608	Q9HAB3	367	1408
AEF12608	Q9NWF4	560	1408
AEI59724	Q9UBH6	605	1408
AP_000135	P78310	677	1408
AP_000157	P15529	205	1408
AP_000157	P78310	677	1408
BAA00518	P05106	664	1408
BAA00518	P06756	1200	1408
BAA00518	P18564	1269	1408
C4P6Q7	Q6UXB4	463	1408
C4P6Q7	Q9BYF1	735	1408
C4P6Q7	Q9H2X3	1248	1408
C4P6Q7	Q9NNX6	1391	1408
CAA47944	P78310	763	1408
CAA47944	P08174	1221	1408
CAE12177	P08174	1076	1408
F5HB81	P52798	47	1408
F5HB81	P06756	727	1408
F5HB81	P05106	939	1408
K4PMJ5	Q08174	752	1408
K9N5Q8	P27487	1399	1408
L0N5F9	Q92956	148	1408
L0N5F9	P26012	439	1408
L0N5F9	Q15223	637	1408
L0N5F9	P18564	684	1408
L0N5F9	P06756	694	1408
L0N5F9	Q92692	1276	1408
L0N5F9	Q9NNX6	1406	1408
NP_040154	P14735	1069	1408
NP_040533	P18084	835	1408
NP_040533	P78310	852	1408
NP_040533	P06756	982	1408
NP_040876	P78310	848	1408
NP_040958	P55899	275	1408
