virus_unid	human_unid	pred_score
Q9Q6P4	Q9NPD5	0.029
Q9Q6P4	Q96EP9	0.058
Q9Q6P4	Q9NRA2	0.044
Q9Q6P4	P33032	0.030
Q9Q6P4	P20309	0.059
Q9Q6P4	A0A577	0.059
Q9Q6P4	Q9UHC9	0.049
Q9Q6P4	Q15286	0.088
Q9Q6P4	Q96KG7	0.031
Q9Q6P4	P04430	0.057
Q9Q6P4	Q7Z5N4	0.075
Q9Q6P4	P04234	0.058
Q9Q6P4	P35372	0.041
Q9Q6P4	Q96GR2	0.075
Q9Q6P4	P21583	0.058
Q9Q6P4	P51164	0.064
Q9Q6P4	P41145	0.033
Q9Q6P4	P49685	0.033
Q9Q6P4	Q496F6	0.047
Q9Q6P4	A0A597	0.051
Q9Q6P4	O14626	0.039
Q9Q6P4	P05129	0.051
Q9Q6P4	Q01844	0.125
Q9Q6P4	A0A0B4J241	0.085
Q9Q6P4	P41587	0.032
Q9Q6P4	P31995	0.053
Q9Q6P4	Q9ULB1	0.043
Q9Q6P4	P16144	0.178
Q9Q6P4	A0A0C4DH25	0.060
Q9Q6P4	P52799	0.067
Q9Q6P4	O00526	0.047
Q9Q6P4	Q14524	0.066
Q9Q6P4	Q13255	0.057
Q9Q6P4	Q96D42	0.040
Q9Q6P4	P06312	0.051
Q9Q6P4	Q13324	0.027
Q9Q6P4	Q8NG94	0.021
Q9Q6P4	Q8NH90	0.022
Q9Q6P4	Q16512	0.065
Q9Q6P4	P50151	0.085
Q9Q6P4	P09619	0.112
Q9Q6P4	O75056	0.077
Q9Q6P4	Q9Y2C9	0.021
Q9Q6P4	Q15700	0.125
Q9Q6P4	Q7RTX0	0.033
Q9Q6P4	Q9Y6J6	0.071
Q9Q6P4	Q9NS75	0.038
Q9Q6P4	P18084	0.057
Q9Q6P4	Q16651	0.045
Q9Q6P4	Q9UM47	0.103
Q9Q6P4	P20020	0.126
Q9Q6P4	A0A075B6S5	0.065
Q9Q6P4	A0A0C4DH28	0.061
Q9Q6P4	P56856	0.063
Q9Q6P4	Q08357	0.075
Q9Q6P4	P51677	0.036
Q9Q6P4	P15529	0.069
Q9Q6P4	Q9Y5X1	0.088
Q9Q6P4	Q92629	0.067
Q9Q6P4	Q6UXG2	0.054
Q9Q6P4	Q9Y597	0.051
Q9Q6P4	P08582	0.049
Q9Q6P4	P01619	0.057
Q9Q6P4	Q8NGM8	0.029
Q9Q6P4	Q8NH83	0.025
Q9Q6P4	P30531	0.045
Q9Q6P4	Q04656	0.075
Q9Q6P4	Q96CW1	0.119
Q9Q6P4	Q9P2Y5	0.099
Q9Q6P4	P20333	0.035
Q9Q6P4	O14842	0.039
Q9Q6P4	O95918	0.031
Q9Q6P4	Q5BIV9	0.057
Q9Q6P4	Q9BY14	0.047
Q9Q6P4	A0A0K0K1B3	0.051
Q9Q6P4	P01825	0.056
Q9Q6P4	Q14242	0.059
Q9Q6P4	P05186	0.083
Q9Q6P4	Q92536	0.042
Q9Q6P4	Q9GZN0	0.037
Q9Q6P4	P47872	0.039
Q9Q6P4	Q9NY25	0.063
Q9Q6P4	P35613	0.063
Q9Q6P4	P19397	0.041
Q9Q6P4	O00241	0.050
Q9Q6P4	Q5T601	0.042
Q9Q6P4	P55087	0.077
Q9Q6P4	Q8N144	0.051
Q9Q6P4	A0A0C4DH69	0.065
Q9Q6P4	Q6UQ28	0.044
Q9Q6P4	Q92823	0.065
Q9Q6P4	O43164	0.073
Q9Q6P4	Q9UGH3	0.051
Q9Q6P4	Q9NPB3	0.067
Q9Q6P4	A0A5B7	0.052
Q9Q6P4	P30988	0.041
Q9Q6P4	Q9ULC5	0.067
Q9Q6P4	Q969F8	0.035
Q9Q6P4	Q04609	0.071
Q9Q6P4	P48509	0.051
Q9Q6P4	Q86VL8	0.035
Q9Q6P4	P09326	0.043
Q9Q6P4	O00398	0.034
Q9Q6P4	Q3MIR4	0.069
Q9Q6P4	A0A087WSY6	0.059
Q9Q6P4	P46108	0.070
Q9Q6P4	Q9NPC1	0.039
Q9Q6P4	P22413	0.044
Q9Q6P4	A0A075B6R0	0.059
Q9Q6P4	P32418	0.059
Q9Q6P4	P22455	0.051
Q9Q6P4	Q12860	0.050
Q9Q6P4	P01859	0.043
Q9Q6P4	Q9NY91	0.050
Q9Q6P4	Q86TG1	0.037
Q9Q6P4	P31645	0.033
Q9Q6P4	Q1EHB4	0.035
Q9Q6P4	Q9UHX3	0.036
Q9Q6P4	Q92887	0.059
Q9Q6P4	O60716	0.132
Q9Q6P4	O00206	0.047
Q9Q6P4	P63211	0.081
Q9Q6P4	P11168	0.068
Q9Q6P4	P30989	0.051
Q9Q6P4	P14778	0.059
Q9Q6P4	Q8IU80	0.028
Q9Q6P4	O43739	0.085
Q9Q6P4	Q9NVZ3	0.069
Q9Q6P4	P32248	0.043
